Transaction ID,Private sector donor,Business sector,Donor country of registration,Recipient,Donation type,Donation status,Est USD value,Notes,Source,Donor ID,Recipient ID
710,3i Group plc,Financials,United Kingdom,United Nations Children's Fund (UNICEF),cash,paid,658762,Cash donation to UNICEF National Committee United Kingdom,"Bilateral - recipient report
[Confirmed email 28-June-22]",do-445,XM-DAC-41122
1,3M,Consumer discretionary,United States of America,GlobalGiving [NGO],cash,pledged,752000,"Donation of $376,000 from 3M staff plus dollar-for-dollar match from the 3M Foundation.","Public reporting
[https://news.3m.com/3Mers-step-up-to-help-in-Ukraine]",do-1,US-EIN-300108263
2,3M,Consumer discretionary,United States of America,Unspecified (see notes),cash,pledged,2000000,Commitment of at least $2 million to directly support relief efforts.,"Public reporting
[https://news.3m.com/3Mers-step-up-to-help-in-Ukraine]",do-1,ro-2
3,8x8 Inc.,Information technology,United States of America,Ukraine Humanitarian Fund (UHF),cash,paid,22520,Donation from American VoIP company.,"Bilateral - recipient report
[Confirmed email 31-May-22]",do-2,ro-113
803,Abbott Laboratories,Health care,United States of America,Americares [NGO],cash,paid,250000,Cash donation for emergency and primary health care services.,"Bilateral - recipient report
[Confirmed email 06-Sept-22]
See also public reporting
[https://www.abbott.com/corpnewsroom/sustainability/abbott-condems-the-war-and-violence-in-Ukraine.html]",do-3,ro-7
801,Abbott Laboratories,Health care,United States of America,CARE International [NGO],cash,paid,1000000,Cash donation for emergency and primary health care services.,"Bilateral - recipient report
[Confirmed email 06-Sept-22]
See also public reporting
[https://www.abbott.com/corpnewsroom/sustainability/abbott-condems-the-war-and-violence-in-Ukraine.html]",do-3,GB-CHC-292506
804,Abbott Laboratories,Health care,United States of America,Direct Relief [NGO],in-kind,paid,1200000,Product donation of nutritionals for emergency response.,"Bilateral - recipient report
[Confirmed email 06-Sept-22]
See also public reporting
[https://www.abbott.com/corpnewsroom/sustainability/abbott-condems-the-war-and-violence-in-Ukraine.html]",do-3,ro-29
800,Abbott Laboratories,Health care,United States of America,International Medical Corps (IMC) [NGO],cash,paid,3000000,Cash donation for emergency and primary health care services.,"Bilateral - recipient report
[Confirmed email 06-Sept-22]
See also public reporting
[https://www.abbott.com/corpnewsroom/sustainability/abbott-condems-the-war-and-violence-in-Ukraine.html]",do-3,ro-54
802,Abbott Laboratories,Health care,United States of America,Project Hope [NGO],cash,paid,750000,Cash donation for emergency and primary health care services.,"Bilateral - recipient report
[Confirmed email 06-Sept-22]
See also public reporting
[https://www.abbott.com/corpnewsroom/sustainability/abbott-condems-the-war-and-violence-in-Ukraine.html]",do-3,ro-87
4,Abbott Laboratories,Health care,United States of America,Unspecified (see notes),in-kind,paid,1100000,"Product donation to multiple recipients including Ukrainian Ministry of Health and other partners in medicines, nutritionals, cardiac devices, diabetes care products and diagnostic tests. ","Bilateral - recipient report
[Confirmed email 06-Sept-22]
See also public reporting
[https://www.abbott.com/corpnewsroom/sustainability/abbott-condems-the-war-and-violence-in-Ukraine.html]",do-3,ro-2
5,AbbVie Inc.,Health care,United States of America,Unspecified (see notes),cash,pledged,1000000,Donation from American pharmaceutical company to nonprofit partners for medical care and supplies for Ukraine and Ukrainian refugees.,"Public reporting
[https://www.abbvie.com/ukraine.html]",do-4,ro-2
6,ABP Food Group Ltd.,Consumer staples,Ireland,Multiple (see notes),cash,pledged,3224670,"The Goodman Foundation, in collaboration with ABP Food Group and the Parma Group (which includes Blackrock Health Group – Blackrock Clinic, Galway Clinic and Hermitage Clinic) is announcing a donation of €3 million to UNICEF, MSF and the ICRC.","Public reporting
[https://abpfoodgroup.com/news/crisis-donation-of-e3-million-announced/]",do-5,ro-1
7,Accenture,Financials,United States of America,Unspecified (see notes),cash,pledged,5000000,For nonprofit relief organizations working to help people in Ukraine and those who are being displaced. ,"Public reporting
[https://newsroom.accenture.com/news/accenture-to-discontinue-business-in-russia.htm]",do-7,ro-2
8,Acronis International GmbH,Information technology,Singapore,Unspecified (see notes),cash,pledged,500000,"The Acronis Cyber Foundation has released $500,000 in humanitarian assistance to those in need.","Public reporting
[https://www.acronis.com/en-gb/blog/posts/acronis-suspends-all-operations-in-russia/]",do-8,ro-2
711,Action,Consumer staples,Netherlands,United Nations Children's Fund (UNICEF),cash,paid,1086957,Cash donation to UNICEF National Committee Netherlands,"Bilateral - recipient report
[Confirmed email 28-June-22]",do-446,XM-DAC-41122
9,Adobe Inc.,Information technology,United States of America,Multiple (see notes),cash,pledged,2500000,"Series of grants totaling over $2.5 million USD to organizations such as International Rescue Committee, Reporters Without Borders, Save the Children and the Committee to Protect Journalists.","Public reporting
[https://blog.adobe.com/en/publish/2022/04/08/adobes-continuing-efforts-to-support-ukraine]",do-9,ro-1
10,"ADP, Inc.",Information Technology,United States of America,Multiple (see notes),cash,pledged,1600000,"Donations from the ADP Foundation and ADP employees to UNICEF USA, International Rescue Committee, International Medical Corps and USA for UNHCR.","Public reporting
[https://www.adp.com/about-adp/statement-on-ukraine.aspx]",do-10,ro-1
712,"AEON Co., Ltd.",Consumer staples,Japan,United Nations Children's Fund (UNICEF),cash,paid,855505,Cash donation to UNICEF National Committee Japan from AEON 1% Club Foundation.,"Bilateral - recipient report
[Confirmed email 28-June-22]",do-447,XM-DAC-41122
11,AGCO Agriculture Foundation,Industrials,United States of America,World Food Programme (WFP),cash,paid,100000,Donation from company-linked foundation to support emergency relief efforts to provide food assistance for families affected by the conflict inside Ukraine and neighboring countries. ,"Bilateral - recipient report
[Confirmed email 14-June-22]",do-11,XM-DAC-41140
