Month,Reporting org id,Reporting org name,Reporting org type,Sector,Receiver org id,Receiver org name,Humanitarian?,Strict?,Transaction type,Activity id,Net money,Total money,Notes
#date+month,#org+id,#org+name,#org+type,#sector,#org+id+receiver,#org+name+receiver,#indicator+bool+humanitarian,#indicator+bool+strict,#x_transaction_type,#activity+code,#value+net,#value+total,#description
2025-04,do-17,Allianz SE,70,Financials,ro-2,Unspecified (see notes),1,1,commitments,23,8691139,8691139,"€10 million to support humanitarian efforts for Ukraine, along with €2.5 million to match employee donations."
2025-04,do-17,Allianz SE,70,Financials,XM-DAC-41140,World Food Programme (WFP),1,1,spending,24,1116071,1116071,"€10 million to support humanitarian efforts for Ukraine, along with €2.5 million to match employee donations."
2025-04,do-18,Alnylam Pharmaceuticals Inc.,70,Health care,ro-113,Ukraine Humanitarian Fund (UHF),1,1,spending,25,25000,25000,Donation from US pharmaceutical firm.
2025-04,do-19,Amadeus IT Group,70,Information technology,XM-DAC-21018,International Federation of Red Cross and Red Crescent Societies (IFRC),1,1,spending,26,1501,1501,"CHF 1,445 from Spanish IT provider for the travel and tourism industry."
2025-04,do-20,"Amazon.com, Inc.",70,Information technology,XM-DAC-47066,International Organization for Migration (IOM),1,1,commitments,27,50000,50000,Donations of selected items from IOM needs assessment.
2025-04,do-20,"Amazon.com, Inc.",70,Information technology,ro-1,Multiple (see notes),1,1,spending,820,37500000,37500000,"Amazon has given more than $75 million of cash and in-kind support including donations to over 150 charities and government entities, including UNICEF, UNHCR, World Food Program, Red Cross, Polska Akcja Humanitarna, and Save the Children, and more. No breakdown between cash and in-kind provided so allocation was made 50-50 for purposes of illustration."
2025-04,do-20,"Amazon.com, Inc.",70,Information technology,ro-1,Multiple (see notes),1,1,spending,821,37500000,37500000,"Amazon has given more than $75 million of cash and in-kind support including donations to over 150 charities and government entities, including UNICEF, UNHCR, World Food Program, Red Cross, Polska Akcja Humanitarna, and Save the Children, and more. No breakdown between cash and in-kind provided so allocation was made 50-50 for purposes of illustration."
2025-04,do-20,"Amazon.com, Inc.",70,Information technology,XM-DAC-41140,World Food Programme (WFP),1,1,spending,29,135509,135509,Donation from US-based e-commerce retailer.
2025-04,do-20,"Amazon.com, Inc.",70,Information technology,XM-DAC-41140,World Food Programme (WFP),1,1,spending,752,180000,180000,Office and storage space donations to the WFP-led Logistics Cluster in Ukraine.
2025-04,do-21,American Express Company,70,Financials,ro-5,American Red Cross,1,1,commitments,30,250000,250000,Donation to support IFRC and other Red Cross partners who are responding to urgent needs and providing technical assistance on the ground in Ukraine. 
