Reporting org id,Reporting org name,Reporting org type,Provider org id,Provider org name,Provider org type,Receiver org id,Receiver org name,Receiver org type,Humanitarian?,Strict?,Transaction direction,Total money,Notes
#org+id+reporting,#org+name+reporting,#org+reporting+type,#org+id+provider,#org+name+provider,#org+type+provider,#org+id+receiver,#org+name+receiver,#org+type+receiver,#indicator+bool+humanitarian,#indicator+bool+strict,#x_transaction_direction,#value+total,#description
cd-19,Amadeus IT Group,70,,,,XM-DAC-21018,International Federation of Red Cross and Red Crescent Societies (IFRC),,1,1,outgoing,1501,"CHF 1,445 from Spanish IT provider for the travel and tourism industry."
cd-20,"Amazon.com, Inc.",70,,,,XM-DAC-47066,International Organization for Migration (IOM),,1,1,outgoing,50000,Donations of selected items from IOM needs assessment.
cd-20,"Amazon.com, Inc.",70,,,,ro-149,unspecified or multiple recipients,,1,1,outgoing,75000000,"Amazon has given more than $75 million of cash and in-kind support including donations to over 150 charities and government entities, including UNICEF, UNHCR, World Food Program, Red Cross, Polska Akcja Humanitarna, and Save the Children, and more. No breakdown between cash and in-kind provided so allocation was made 50-50 for purposes of illustration."
cd-20,"Amazon.com, Inc.",70,,,,XM-DAC-41140,World Food Programme (WFP),,1,1,outgoing,315509,Donation from US-based e-commerce retailer.
cd-21,American Express Company,70,,,,ro-5,American Red Cross,,1,1,outgoing,250000,Donation to support IFRC and other Red Cross partners who are responding to urgent needs and providing technical assistance on the ground in Ukraine. 
cd-21,American Express Company,70,,,,ro-54,International Medical Corps (IMC) [NGO],,1,1,outgoing,250000,Donation to support mobile medical teams in Ukraine to provide essential emergency and primary health services; mental health and psychosocial support services; and COVID-19 awareness and prevention services to help keep affected populations safe from the pandemic. 
cd-21,American Express Company,70,,,,US-EIN-13-5660870,International Rescue Committee (IRC) [NGO],,1,1,outgoing,250000,"Donation to provide necessary resources where they are needed most in Ukraine, including for those who have fled their homes. "
cd-21,American Express Company,70,,,,XM-DAC-41122,United Nations Children's Fund (UNICEF),,1,1,outgoing,250000,"Donation to support children and families as the Ukraine crisis escalates, with life-saving programs, safe water, emergency health, hygiene, and education aid and other immediate help for those in need of support. "
cd-22,AmerisourceBergen Foundation,70,,,,ro-149,unspecified or multiple recipients,,1,1,outgoing,500000,Commitment to support organizations in Ukraine including Direct Relief. 
cd-23,"Amgen Foundation, Inc.",70,,,,ro-54,International Medical Corps (IMC) [NGO],,1,1,outgoing,250000,Donation from foundation associated with Amgen biopharmaceutical company. 
cd-23,"Amgen Foundation, Inc.",70,,,,ro-87,Project Hope [NGO],,1,1,outgoing,250000,Donation from foundation associated with Amgen biopharmaceutical company. 
cd-24,Analog Devices Incorporated,70,,,,XM-DAC-21018,International Federation of Red Cross and Red Crescent Societies (IFRC),,1,1,outgoing,101320,"CHF 97,509 from American semiconductor company."
cd-484,Andreas Stihl AG & Co KG,70,,,,ro-179,Diakonie Katastrophenhilfe [NGO],,1,1,outgoing,130087,"€125,000 cash donation"
cd-484,Andreas Stihl AG & Co KG,70,,,,ro-66,Médecins Sans Frontières (MSF) [NGO],,1,1,outgoing,130087,"€125,000 cash donation to Ärzte ohne Grenzen e.V. (German office of Doctors Without Borders)."
cd-484,Andreas Stihl AG & Co KG,70,,,,ro-99,SOS Children's Villages [NGO],,1,1,outgoing,130087,"€125,000 cash donation"
cd-484,Andreas Stihl AG & Co KG,70,,,,ro-132,UNO-Flüchtlingshilfe (Germany for UNHCR),,1,1,outgoing,130087,"€125,000 cash donation"
cd-25,AngloAmerican Foundation,70,,,,ro-149,unspecified or multiple recipients,,1,1,outgoing,5000000,Donation from foundation associated with British multinational mining group. 
cd-26,Ann and Gordon Getty Foundation,70,,,,ro-113,Ukraine Humanitarian Fund (UHF),,1,1,outgoing,42000,Cash donation from descendants of the founder of the Standard Oil Company.
cd-27,Arcadia Fund,70,,,,GB-CHC-220949,British Red Cross Society ,,1,1,outgoing,6517325,£5 million donation from family foundation associated with the founder of Tetra Pak (multinational food and packaging company). 
cd-27,Arcadia Fund,70,,,,ro-14,British-Ukrainian Aid [NGO],,1,1,outgoing,32586,"£25,000 donation from family foundation associated with the founder of Tetra Pak (multinational food and packaging company). "
cd-27,Arcadia Fund,70,,,,ro-34,Foundation Conservation Carpathia [NGO],,1,1,outgoing,271879,"€250,000 donation from family foundation associated with the founder of Tetra Pak (multinational food and packaging company). "
cd-27,Arcadia Fund,70,,,,ro-35,Frankfurt Zoological Society [NGO],,1,1,outgoing,271879,"€250,000 donation from family foundation associated with the founder of Tetra Pak (multinational food and packaging company). "
cd-27,Arcadia Fund,70,,,,ro-90,Refugee Council [NGO],,1,1,outgoing,651732,"£500,000 donation from family foundation associated with the founder of Tetra Pak (multinational food and packaging company). "
cd-27,Arcadia Fund,70,,,,GB-COH-213890,Save the Children [NGO],,1,1,outgoing,2281064,£1.75 million donation from family foundation associated with the founder of Tetra Pak (multinational food and packaging company). 
cd-27,Arcadia Fund,70,,,,XM-DAC-41121,United Nations High Commissioner for Refugees (UNHCR),,1,1,outgoing,3910395,£3 million donation from family foundation associated with the founder of Tetra Pak (multinational food and packaging company). 
cd-28,Arcadis NV,70,,,,XM-DAC-21018,International Federation of Red Cross and Red Crescent Societies (IFRC),,1,1,outgoing,212451,"CHF 204,460 from global design, engineering and management consulting company."
cd-492,ArcelorMittal S.A.,70,,,,ro-71,Ministry of Social Policy of Ukraine [government],,1,1,outgoing,1000000,"$1 million cash donation directly to the 'Humanitarian Assistance to Ukrainians' bank account established and operated by the Government of Ukraine, for housing, food, medicine, and clothing for refugees and displaced persons."
cd-492,ArcelorMittal S.A.,70,,,,ro-149,unspecified or multiple recipients,,1,1,outgoing,1000000,$1 million cash donation allocated for humanitarian aid in the city of Kryvyi Rih for medical supplies and equipment for local hospitals.
cd-29,Archer-Daniels-Midland Company,70,,,,XM-DAC-41140,World Food Programme (WFP),,1,1,outgoing,485000,Donation from US-based food conglomerate. 
cd-30,Arc'teryx,70,,,,ro-113,Ukraine Humanitarian Fund (UHF),,1,1,outgoing,19700,"CAD 25,000 from Canadian outdoor clothing and climbing gear company. "
cd-31,Ares Management Corporation,70,,,,GB-CHC-292506,CARE International [NGO],,1,1,outgoing,100000,To provide water and hygiene kits for Ukraine. 
cd-31,Ares Management Corporation,70,,,,ro-152,Voices of Children Foundation [NGO],,1,1,outgoing,100000,For psychological and evacuation support for children of Ukraine.  
cd-31,Ares Management Corporation,70,,,,ro-154,World Central Kitchen [NGO],,1,1,outgoing,100000,For meals for those who emigrate to neighboring countries and those who remain in Ukraine. 
cd-32,Argyle Systems Inc ,70,,,,ro-44,GoFundMe.org Ukraine Humanitarian Fund,,1,1,outgoing,50000,Donation to GoFundMe campaign. 
cd-33,Arista,70,,,,ro-113,Ukraine Humanitarian Fund (UHF),,1,1,outgoing,20000,Donation via the Silicon Valley Community Foundation.
cd-34,Armani Group ,70,,,,XM-DAC-41121,United Nations High Commissioner for Refugees (UNHCR),,1,1,outgoing,561798,"€500,000 donation for the assistance and protection of those who have been forced to flee the war in Ukraine. "
cd-35,Asda Stores Ltd,70,,,,XM-DAC-41122,United Nations Children's Fund (UNICEF),,1,1,outgoing,330000,"£250k corporate donation to support the setup of a Blue Dot centre which will provide a safe space for up to 5,000 children and families and give them access to things like emergency water and hygiene kits on the ground."
cd-35,Asda Stores Ltd,70,,,,ro-149,unspecified or multiple recipients,,1,1,outgoing,980712,£1m corporate commitment (manually reduced by £250k corporate donation to UNICEF)
cd-36,ASIS International,70,,,,ro-113,Ukraine Humanitarian Fund (UHF),,1,1,outgoing,10000,Donation from organization representing security professionals.
cd-516,Assicurazioni Generali S.p.A.,70,,,,ro-149,unspecified or multiple recipients,,1,1,outgoing,3021626,"€ 3 million donation, including a donation to UNHCR."
cd-428,Astarta Holding,70,,,,ro-149,unspecified or multiple recipients,,1,1,outgoing,1015995,"UAH 30 million of assistance including 500 tons of food products, temporary shelters, and other assistance from Astarta-Kyiv, a Ukrainian agriculture and industrial company."
cd-37,Astellas Pharma Inc.,70,,,,XM-DAC-41122,United Nations Children's Fund (UNICEF),,1,1,outgoing,78308,10 million yen donation to support humanitarian relief.
cd-38,AstraZeneca,70,,,,ro-29,Direct Relief [NGO],,1,1,outgoing,3000000,"Twenty-four pallets of medicines, worth $3 million, to our humanitarian relief partner Direct Relief, which is working directly with the Ukrainian Ministry of Health. Part of a $7 million commitment. "
cd-38,AstraZeneca,70,,,,XM-DAC-21018,International Federation of Red Cross and Red Crescent Societies (IFRC),,1,1,outgoing,9343,"CHF 8,867"
cd-38,AstraZeneca,70,,,,ro-149,unspecified or multiple recipients,,1,1,outgoing,2000000,$2 million to Project HOPE and IMC. 
cd-429,ATB Corporation,70,,,,ro-149,unspecified or multiple recipients,,1,1,outgoing,6778638,"UAH 200 million dedicated to the implementation of humanitarian projects by the largest retailer, taxpayer, and one of the largest employers in Ukraine."
cd-39,Atlas Copco Group,70,,,,XM-DAC-41121,United Nations High Commissioner for Refugees (UNHCR),,1,1,outgoing,105807,Donation of 1m SEK. 
cd-40,ATN Corp.,70,,,,ro-108,The Gorta Group [NGO],,1,1,outgoing,300000,Donation from manufacturer of night vision and thermal vision products. 
