Reporting org id,Reporting org name
do-187,H. Lundbeck A/S
do-190,HELP Logistics
do-424,Happybean Foundation
do-188,Heartland
do-189,Helly Hansen
do-191,Hendrick Automotive
do-486,Henkel AG & Co. KGaA
do-192,Hermès International S.A.
do-193,Hilco Global
do-194,"Hillenbrand, Inc."
do-195,"Hitachi Astemo, Ltd."
do-196,"Hitachi, Ltd."
do-197,Home Capital Group
do-198,Hotel Engine
do-199,"Humble Bundle, Inc."
do-200,Hyundai Motor Company
do-201,IBM
do-203,ICR Touch
do-426,IMC International Metalworking Companies B.V.
do-205,INFICON Holding AG
do-457,ING Group
do-202,Iceland Foods Charitable Foundation
do-204,Ikea Foundation
do-206,Inflexion Foundation
do-207,Ingersoll Rand Inc.
do-208,Intel Foundation
do-425,Internet Corporation for Assigned Names and Numbers (ICANN)
do-209,Interogo Holding AG
do-438,Interpipe Group
do-210,Intuit Inc.
do-211,Ipsen
do-432,Iwan Budnikowsky GmbH & Co. KG (Budni)
do-219,JPMorgan Chase & Co.
do-220,JYSK
do-212,Jaguar Land Rover
do-213,James M. Cox Foundation
do-214,Japan Sporting Goods Industries Association
do-458,Jefferies Group LLC 
do-215,John Legere Family Foundation
do-216,John Lewis Partnership
do-217,Johnson & Johnson
do-218,Jonathan Molot and Hattie Ruttenberg Foundation
do-515,K+S Aktiengesellschaft
do-459,KDDI Corporation
do-229,KOEI TECMO
do-231,KPMG LLP
do-221,Kansas City Southern Charitable Fund
do-222,Keen
do-223,Kerry Group plc
do-224,KeyBank Foundation
do-225,Kikkoman
do-226,Kimberly-Clark
do-227,Kinross Gold Corporation
do-228,Knockward Ltd
do-509,Knorr-Bremse AG
do-230,Koninklijke DSM N.V.
do-477,Koninklijke Philips N.V.
do-232,Kroger Co. Zero Hunger Zero Waste Foundation
do-505,Krombacher Brauerei Bernhard Schadeberg GmbH & Co. KG
do-233,Kuehne + Nagel International AG
do-234,Kurt Geiger
do-439,Kyivstar
do-241,L'Oréal S.A.
do-235,LEGO Foundation
do-236,LEO Pharma A/S
do-497,LVM Versicherungsverein
do-243,LVMH Group
do-496,Laverana GmbH & Co. KG
do-237,Levi Strauss & Co.
do-238,Liebherr Foundation
do-239,"Lincoln Electric Holdings, Inc."
do-240,Lindt & Sprüngli AG
do-242,Louis Vuitton
do-269,MSA Safety
do-270,MSD
do-244,Magna International
do-245,Marks & Spencer
do-246,Marriott International
do-247,"Mars, Inc."
do-248,Mastercard
do-249,"Mattel, Inc."
do-250,Mazda Motor Corporation
do-251,McCain Foods Limited
do-518,Medela AG
do-482,Mennekes Elektrotechnik GmbH & Co. KG
do-252,Mercedes-Benz
do-460,Mercedes-Benz Grand Prix Ltd
do-253,Merck KGaA
do-254,"Meta Platforms, Inc."
do-498,Metinvest Group
do-255,Metro AG
do-256,Metro Supply Chain
do-257,Michael & Susan Dell Foundation
do-258,Micky and Madeleine Arison Family Foundation
do-259,Microsoft Corporation
do-260,Micys Company S.p.A.
do-261,Mitsubishi Electric
do-262,Mondelez International
do-263,Mondi plc
do-264,Mondou
do-265,Moody's Foundation
do-266,Moose Toys
do-267,Morrison & Foerster Foundation
do-268,Morrison Supermarkets
