Transaction ID,Private sector donor,Business sector,Donor country of registration,Recipient,Donation type,Donation status,Est USD value,Notes,Source,Donor ID,Recipient ID
EQ-2023-000015-TUR-0017,ALDI SOUTH Group,Consumer staples,Germany,Unspecified Red Cross / Red Crescent Society (see notes),cash,pledged,533367,"€500,000 to assist with disaster relief efforts in Turkey and Syria.",Public reporting: https://cr.aldisouthgroup.com/en/responsibility/news/relief-fund-turkey-and-syria-aldi-south-group-donates-euro-500k-red-cross,do-15,ro-3
EQ-2023-000015-TUR-0018,Allianz SE,Financials,Germany,Unspecified (see notes),cash,pledged,5864017,Unallocated portion of a €6 million commitment for earthquake relief and recovery.,Public reporting: https://www.allianz.com/en/press/news/commitment/community/230208_Allianz-announces-six-million-euros-for-earthquake-relief-and-recovery.html,do-17,ro-2
EQ-2023-000015-TUR-0019,Allianz SE,Financials,Germany,Unspecified (see notes),cash,paid,533092,"Allocated portion of €6 million commitment -- €500,000 has been paid via local partners for immediate humanitarian aid purposes.",Public reporting: https://www.allianz.com/en/press/news/commitment/community/230208_Allianz-announces-six-million-euros-for-earthquake-relief-and-recovery.html,do-17,ro-2
EQ-2023-000015-TUR-0020,"Amazon.com, Inc.",Information technology,United States of America,Unspecified (see notes),cash,pledged,500000,Initial commitment of cash donations to NGOs providing critical support in areas affected by the earthquake in Türkiye and Syria.,Public reporting: https://www.aboutamazon.co.uk/news/community/how-amazon-is-helping-communities-impacted-by-the-earthquake-in-turkey,do-20,ro-2
EQ-2023-000015-TUR-0021,AmerisourceBergen,Health care,United States of America,Multiple (see notes),cash,pledged,350000,"$250,000 from the AmerisourceBergen Foundation plus $100,000 from AmerisourceBergen Alliance Healthcare distributed to strategic nonprofit partners including Direct Relief, UNICEF, and the Red Cross, among others. ",Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-turkey-and-syria/amerisourcebergen-earthquakes-t-rkiye-and-syria,do-22,ro-1
EQ-2023-000015-TUR-0022,Amgen Inc.,Health care,United States of America,Multiple (see notes),cash,pledged,1000000,"Donations to Direct Relief, International Medical Corps, and Heart-to-Heart International. ",Public reporting: https://www.amgen.com/stories/2023/02/amgen-foundation-donates-to-relief-efforts-in-turkiye-and-syria-following-earthquake,do-23,ro-1
EQ-2023-000015-TUR-0023,Arvato,Information Technology,Germany,Unspecified (see notes),cash,pledged,214330,"€200,000 to aid victims from Arvato Supply Chain Solutions.",Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-turkey-and-syria/arvato-supply-chain-solutions-earthquakes-t-rkiye-and,do-601,ro-2
EQ-2023-000015-TUR-0024,BASF SE,Industrials,Germany,German Red Cross,cash,pledged,537965,"€500,000 cash donation.",Public reporting: https://www.basf.com/global/en/who-we-are/sustainability/we-value-people-and-treat-them-with-respect/societal-commitment/basf-stiftung/we-fund/projects/earthquake2023.html,do-56,ro-40
EQ-2023-000015-TUR-0025,Bayer AG,Health care,Germany,Anadolu Halk ve Barış Platformu (AHBAP) [NGO],cash,pledged,533305,"€500,000 cash donation.",Public reporting: https://www.bayer.com/media/en-us/bayer-donates-15-million-euros-for-immediate-aid-to-victims-of-devastating-earthquakes-in-tuerkiye-and-syria/,do-57,ro-195
EQ-2023-000015-TUR-0026,Bayer AG,Health care,Germany,Turkish Red Crescent / Türk Kızılay,cash,pledged,533305,"€500,000 cash donation.",Public reporting: https://www.bayer.com/media/en-us/bayer-donates-15-million-euros-for-immediate-aid-to-victims-of-devastating-earthquakes-in-tuerkiye-and-syria/,do-57,ro-200
