Private sector donor,Business sector,Donor country of registration,Recipient,Donation type,Donation status,Est USD value,Notes
Arcadia Fund,Industrials,United Kingdom,Refugee Council [NGO],cash,paid,651732,"£500,000 donation from family foundation associated with the founder of Tetra Pak (multinational food and packaging company). Source: https://www.arcadiafund.org.uk/news/support-for-ukraine"
Arcadia Fund,Industrials,United Kingdom,Save the Children [NGO],cash,paid,2281064,£1.75 million donation from family foundation associated with the founder of Tetra Pak (multinational food and packaging company). Source: https://www.arcadiafund.org.uk/news/support-for-ukraine
Arcadia Fund,Industrials,United Kingdom,United Nations High Commissioner for Refugees (UNHCR),cash,paid,3910395,£3 million donation from family foundation associated with the founder of Tetra Pak (multinational food and packaging company). Source: https://www.arcadiafund.org.uk/news/support-for-ukraine
Archer-Daniels-Midland Company,Consumer staples,United States of America,World Food Programme (WFP),cash,paid,485000,Donation from US-based food conglomerate. Source: CONFIRMED WFP 31-Mar-22.
Arc'teryx,Consumer discretionary,Canada,Ukraine Humanitarian Fund (UHF),cash,paid,271879,"CAD 25,000 from Canadian outdoor clothing and climbing gear company. Source: CONFIRMED UNF 5-Apr-22."
Ares Management Corporation,Financials,United States of America,CARE International [NGO],cash,pledged,100000,"$100,000 in corporate contributions to CARE International to provide water and hygiene kits for Ukraine. Source: https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/ares-management-corporation-humanitarian-crisis-ukraine"
Ares Management Corporation,Financials,United States of America,Voices of Children Foundation [NGO],cash,pledged,100000,"$100,000 in corporate contributions to Voices of Children Foundation to offer psychological and evacuation support for children of Ukraine.  Source: https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/ares-management-corporation-humanitarian-crisis-ukraine"
Ares Management Corporation,Financials,United States of America,World Central Kitchen [NGO],cash,pledged,100000,"$100,000 to World Central Kitchen to ensure meals for both those who emigrate to neighboring countries and those who remain in Ukraine. Source:  Source: https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/ares-management-corporation-humanitarian-crisis-ukraine"
Argyle Systems Inc ,Industrials,United States of America,GoFundMe.org Ukraine Humanitarian Fund,cash,paid,50000,Donation to GoFundMe campaign. Source: https://www.gofundme.com/f/ukraine-humanitarian-fund/topdonations
Armani Group ,Consumer discretionary,Italy,United Nations High Commissioner for Refugees (UNHCR),cash,paid,561798,"€500,000 donation for the assistance and protection of those who have been forced to flee the war in Ukraine. Source: https://people.com/style/how-fashion-and-beauty-brands-are-helping-ukraine CONFIRMED UNHCR 30-Mar-22."
Asda Stores Ltd,Consumer discretionary,United Kingdom,United Nations Children's Fund (UNICEF),cash,pledged,330000,"Corporate giving program. Asda will be making a £250k donation to UNICEF to support the setup of a Blue Dot centre, which will provide a safe space for up to 5,000 children and families and give them access to things like emergency water and hygiene kits on the ground. GBP £250,000."
ASIS International,Industrials,United States of America,Ukraine Humanitarian Fund (UHF),cash,paid,10000,Source: CONFIRMED UNF 5-Apr-22.
AstraZeneca,Health care,United Kingdom,[multiple or not specified],cash,pledged,2000000,$2 million to Project HOPE and IMC. Source: https://www.astrazeneca.com/media-centre/statements/2022/our-response-to-the-russia-ukraine-war.html
AstraZeneca,Health care,United Kingdom,Direct Relief [NGO],in-kind,pledged,3000000,"Twenty-four pallets of medicines, worth $3 million, to our humanitarian relief partner Direct Relief, which is working directly with the Ukrainian Ministry of Health. Part of a $7 million commitment. Source: https://www.astrazeneca.com/media-centre/statements/2022/our-response-to-the-russia-ukraine-war.html"
Atlas Copco Group,Industrials,Sweden,United Nations High Commissioner for Refugees (UNHCR),cash,pledged,105807,Donation of 1m SEK. Source: https://www.facebook.com/atlascopco/photos/a.10150146064285703/10158399472190703/
ATN Corp.,Consumer discretionary,United States of America,The Gorta Group [NGO],cash,pledged,300000,Donation from manufacturer of night vision and thermal vision products. Source: https://www.primepublishers.com/atn-corp-donates-300k-to-support-the-gorta-groups-ukraine-relief-efforts/article_dcd3e2f2-8d48-5fa8-8178-61115e906404.html
"Aurora World, Inc.",Consumer discretionary,United States of America,The Toy Foundation [NGO],in-kind,pledged,250000,"Donation from manufacturer of plush toys of $250,000 worth of toys for children affected by the Ukraine crisis. Source: https://www.linkedin.com/posts/aurora-world-inc%2E_standwithukraine-toyfoundation-toyindustry-activity-6909243598135836672-4WNU."
aviado GmbH,Industrials,Germany,Ukraine Humanitarian Fund (UHF),cash,paid,16667,Donation from specialist aviation and rail consultancy. Source: CONFIRMED UNF 5-Apr-22.
Backcountry,Consumer discretionary,United States of America,CARE International [NGO],cash,pledged,10000,"Corporate giving program. Backcountry donated $10,000 to CARE, which is helping refugees with emergency assistance.o help with refugee assistance. USD 10000."
Bain & Company,Financials,United States of America,United Nations High Commissioner for Refugees (UNHCR),cash,pledged,1000000,Corporate giving program. Bain & Company has announced a $1M cash contribution to United Nations High Commissioner for Refugees for relief efforts in Ukraine. USD 1000000.
Baker Creek Heirloom Seed Company,Consumer discretionary,United States of America,World Help [NGO],cash,pledged,1600000,Corporate giving program. Baker Creek Heirloom Seed Company has raised $1.6 million in aid for Ukraine thorough its seed sales from February 25 through 27. All donations will go to World Help to provide humanitarian aid. USD 1600000.
Balenciaga SAS,Consumer discretionary,France,World Food Programme (WFP),cash,paid,337079,Donation from Spanish (now French) luxury brand. Source: CONFIRMED WFP 31-Mar-22.
Banco Santander S.A.,Financials,Spain,[multiple or not specified],cash,pledged,1087495,€1 million initial donation to the Red Cross and UNHCR. Source: https://www.santander.com/es/sala-de-comunicacion/notas-de-prensa/2022/03/respuesta-a-la-crisis-humanitaria-en-ucrania?linkId=100000113199097.
Bandai Namco,Consumer discretionary,Japan,Save the Children [NGO],cash,pledged,817420,100 million yen donation to Save the Children in support of Ukraine.
Bank of Ireland,Financials,Ireland,Irish Red Cross Society,cash,pledged,109000,"Bank of Ireland donation of €100,000 to UNICEF Ireland, as the charity works to deliver aid to people fleeing the Ukraine conflict."
Barratt Foundation,Communications services,United Kingdom,British Red Cross Society ,cash,pledged,66000,"Company-sponsored foundation. The Barratt Foundation has donated £50,000 to The Sun’s Ukraine Humanitarian Appeal with the Red Cross. GBP £50,000."
BASF,Industrials,Germany,German Red Cross,cash,pledged,1101820,Donation from German chemicals conglomerate. €1 million.
Bayer AG,Health care,Germany,[multiple or not specified],cash,pledged,3265350,"Bayer has established a €3 million Disaster Relief Fund and provided both monetary assistance and donations of health products like antibiotics to help up to 27,000 Ukrainian patients. Source: https://www.bayer.com/en/ukraine"
BBVA,Financials,Spain,United Kingdom for UNHCR,cash,pledged,545000,"BBVA will donate one million euros, which will be distributed 50 percent between UNICEF and UNHCR, to respond to the humanitarian emergency in Ukraine. "
