Private sector donor,Business sector,Donor country of registration,Recipient,Donation type,Donation status,Est USD value,Notes
Delta Air Lines,Industrials,United States of America,United Nations High Commissioner for Refugees (UNHCR),cash,pledged,100000,"Corporate giving program. Delta gave $100,000 to the United Nations High Commissioner for Refugees to assist in providing humanitarian aid to people affected by the crisis in Ukraine. USD 100000."
Derald H. Ruttenberg Foundation,Industrials,United States of America,Ukraine Humanitarian Fund (UHF),cash,paid,61288.85,Donation from the family foundation established by the founder of Tinicum. Source: CONFIRMED UNF 5-Apr-22.
Devon Energy,Energy,United States of America,[multiple or not specified],cash,pledged,20000000,Pledge of up to $20 million to support humanitarian efforts in Ukraine and neighboring countries supporting Ukrainian refugees. Source: https://www.devonenergy.com/news/2022/Devon-Energy-Pledges-Up-to-20-Million-to-Aid-Humanitarian-Efforts-in-Ukraine
"Diamondback Energy, Inc.",Energy,United States of America,[multiple or not specified],cash,pledged,10000000,Pledge from US-based energy company. Source: https://www.diamondbackenergy.com/news-releases/news-release-details/diamondback-energy-inc-responds-humanitarian-crisis-eastern
Don't Nod Entertainment SA,Consumer discretionary,France,Ukrainian Red Cross Society,cash,pledged,32700,"Corporate giving program. DONTNOD has pledged €30,000 to the Red Cross in Ukraine.  EUR 30000."
Door County Candle Company,Consumer discretionary,United States of America,Razom [NGO],cash,pledged,125000,"Door County Candle Company debuted a Ukraine-themed candle for their customers, with all the money made from the candle going to Razom For Ukraine. Source: https://www.facebook.com/DoorCountyCandleCompany/photos/a.324245500919235/5162357540441316/."
Dow Chemical Company,Industrials,United States of America,CAF America [NGO],cash,pledged,275000,Donation for the International Red Cross Movement through CAF America. Source: https://twitter.com/DowNewsroom/status/1499543836695146501
Drax Group PLC,Energy,United Kingdom,Disasters Emergency Committee (DEC) [NGO],cash,pledged,370000,"Corporate giving program. Renewable energy company Drax Group is donating $370,000 to the Disasters Emergency Committee Ukraine Humanitarian Appeal to support relief efforts for the Ukrainian people following Russia’s invasion. The DEC Ukraine Humanitarian Appeal aims to provide food, water, shelter, healthcare, and protection to families fleeing the conflict who have left their homes. USD 370000."
DST Global,Financials,United States of America,GoFundMe.org Stand With Ukraine Fund,cash,paid,3500000,Donation from one of the largest venture capital firms in the world to GoFundMe campaign started by Mila Kunis and Ashton Kutcher. Source: https://www.gofundme.com/f/stand-with-ukraine/topdonations
Dunamu Inc.,Financials,Republic of Korea,World Food Programme (WFP),cash,paid,811833,KRW 1 billion donation from block chain and fintech company. See https://www.wfp.org/news/dunamu-contributes-us-823000-wfps-emergency-aid-ukraine. Source: CONFIRMED WFP 31-Mar-22.
Dupont,Materials,United States of America,International Committee of the Red Cross and Red Crescent Societies (ICRC),cash,pledged,200000,"Corporate giving program. DuPont has pledged $200,000 along with matched employee donations to the International Red Cross to address humanitarian relief and refugee support for Ukraine. USD 200000."
Eli Lilly and Company,Health care,United States of America,Direct Relief [NGO],in-kind,pledged,1800000,"$1.8 million supply of baricitinib, used to treat complications of COVID-19. Source: https://www.lilly.com/news/stories/ukraine-support."
Eli Lilly and Company,Health care,United States of America,Project Hope [NGO],in-kind,pledged,7500000,$7.5 million worth of insulin to Project Hope to assist Ukrainians. Source: https://www.lilly.com/news/stories/ukraine-support.
Eli Lilly and Company Foundation,Health care,United States of America,Americares [NGO],cash,pledged,250000,"The Lilly Foundation is making a monetary contribution of $250,000 to Americares to support their relief efforts in the region. Source: https://www.lilly.com/news/stories/ukraine-support."
Eli Lilly and Company Foundation,Health care,United States of America,Direct Relief [NGO],cash,pledged,250000,"The Lilly Foundation is making a monetary contribution of $250,000 to Direct Relief to support their relief efforts in the region and aid those affected by the war in Ukraine. Source: https://www.lilly.com/news/stories/ukraine-support."
Embracer Group,Consumer discretionary,Sweden,[multiple or not specified],cash,pledged,5000000,Pledged donation from video game studio. Source: https://embracer.com/release/update-on-the-situation-due-to-the-war-in-ukraine/
Epic Games,Consumer discretionary,United States of America,[multiple or not specified],cash,pledged,144000000,"""Together with the Fortnite community and Xbox, we raised $144 million USD for Direct Relief, UNICEF, UN World Food Program, United Nations High Commissioner for Refugees, and World Central Kitchen in support of their humanitarian relief efforts for people affected by the war in Ukraine."" Source: https://www.epicgames.com/fortnite/en-US/news/support-humanitarian-relief-for-ukraine"
ERSTE Foundation,Financials,Austria,[multiple or not specified],cash,pledged,1085800,Donation from foundation linked to Erste Group bank will provide a special budget of one million euros for acute and medium-term aid to address the effects of the war on the people of Ukraine. Source: https://www.erstestiftung.org/en/press/erste-foundation-1-million-euro-special-budget-to-help-the-people-of-ukraine/
"Esmark, Inc.",Industrials,United States of America,City of Košice,cash,pledged,25000,"Corporate giving program. Esmark, Inc. has donated $25,000 and pledged an additional $25,000 in matching contributions to aid Ukrainian in refugees in Slovakia. The initial donation was made directly to the City of Košice. Esmark will make an additional donation up to $25,000 USD to the City of Košice, matching monetary contributions made by Americans to help Ukrainian refugees. USD 25000."
Eurofins Scientific Foundation,Health care,Luxembourg,International Federation of Red Cross and Red Crescent Societies (IFRC),cash,paid,27019,"25,000 CHF Source: CONFIRMED received by IFRC 1-Apr-22"
Eurol Foundation,Materials,The Netherlands,Giro555 [NGO],cash,pledged,8175,"Company-sponsored foundation. The Eurol Foundation has made a donation of €7,500 to Giro555, part of the Emergency Appeals Alliance, for humanitarian aid for Ukraine.  EUR 7500."
ExxonMobil,Energy,United States of America,American Red Cross,cash,pledged,1000000,Donation from major energy company. Source: https://corporate.exxonmobil.com/News/ExxonMobil-and-Ukraine
ExxonMobil,Energy,United States of America,International Medical Corps (IMC) [NGO],cash,pledged,750000,Donation from major energy company. Source: https://corporate.exxonmobil.com/News/ExxonMobil-and-Ukraine
ExxonMobil,Energy,United States of America,Project Hope [NGO],cash,pledged,250000,Donation from major energy company. Source: https://corporate.exxonmobil.com/News/ExxonMobil-and-Ukraine
Fashion Institute of Design & Merchandising,Consumer discretionary,United States of America,Mission of Mercy [NGO],cash,pledged,298000,"Corporate giving program. FIDM is donating $298,000 worth of clothing and essentials to the Mission of Mercy for Ukraine, a United States-based non-profit supporting the hardest-hit victims of the war in Ukraine. USD 298000."
"Fast Retailing Co., Ltd.",Consumer discretionary,Japan,United Nations High Commissioner for Refugees (UNHCR),cash,pledged,10000000,"Corporate giving program. Fast Retailing Co., Ltd., in response to the humanitarian emergency in Ukraine, announced a donation of US$10 million (approx. 1.15 billion yen) to UNHCR, the UN Refugee Agency, to support people forced to flee. The donation will be used by UNHCR to provide such urgent assistance as shelter, psychosocial support and core relief items to affected populations in Ukraine and neighboring countries. USD 10000000."
Fédération nationale des Caisses d’Epargne,Financials,France,French Red Cross,cash,pledged,1628700,€1.5 million donation from French cooperative banking association. Source: Source: https://www.federation.caisse-epargne.fr/ukraine-les-caisses-depargne-se-mobilisent-en-faveur-de-laide-humanitaire
Fédération nationale des Caisses d’Epargne,Financials,France,Groupe Habitat en Région [NGO],cash,pledged,1954440,€1.8 million donation from French cooperative banking association. Source: Source: https://www.federation.caisse-epargne.fr/ukraine-les-caisses-depargne-se-mobilisent-en-faveur-de-laide-humanitaire
Federation of the European Sporting Goods Industry,Consumer discretionary,Belgium,Ukraine Humanitarian Fund (UHF),cash,pledged,10000,Pipeline donation. Source: CONFIRMED by UNF 5-Apr-22.
Fidelity Investments,Financials,United States of America,Ukraine Humanitarian Fund (UHF),cash,paid,52850,Donation from American financial services corporation. Source: CONFIRMED UNF 5-Apr-22.
Fondation CHANEL,Consumer discretionary,France,[multiple or not specified],cash,pledged,2177020,€2 million donation split between UNHCR and CARE International. Source: https://luxurylondon.co.uk/style/hers/ukraine-war-luxury-brand-fashion-donations-events-fundraisers
Fondation Orange,Communications services,France,[multiple or not specified],cash,pledged,1088550,"€1,000,000 to the French Red Cross, UNHCR, and local partners responding to the Ukraine crisis from the foundation linked to Orange (French mobile network operator). Source: https://www.fondationorange.com/La-Fondation-Orange-solidaire-avec-l-Ukraine "
Fondazione Cariplo,Financials,Italy,[multiple or not specified],cash,pledged,3701022,"€3,400,000 allocation to support multiple response activities from foundation established by several Italian banks. Source: https://www.fondazionecariplo.it/it/news/servizi/fondazione-cariplo-a-sostegno-dei-profughi-dell-ucraina.html. "
Fondazione Generali,Financials,Italy,United Nations Children's Fund (UNICEF),cash,pledged,1085800,€1 million donation from foundation linked to Italian insurance company. Source: https://www.thehumansafetynet.org/it/stories-and-news/news/all/2022/Donations-and-practical-support-for-families-impacted-by-Ukraine-crisis
Forada Limited,Financials,United Kingdom,Ukraine Humanitarian Fund (UHF),cash,pledged,25000,Donation from UK-based financial services company. Source: Confirmed pipeline transaction bilaterally 5-Apr-22.
Ford Motor Company Fund,Consumer discretionary,United States of America,GlobalGiving [NGO],cash,pledged,100000,"Company-sponsored foundation. The Ford Fund announced it is making a $100,000 donation to the Global Giving Ukraine Relief Fund for humanitarian aid to assist Ukrainian citizens and families who have been displaced during this crisis. USD 100000."
Fortum Oyj,Utilities,Finland,International Federation of Red Cross and Red Crescent Societies (IFRC),cash,paid,223091,"206,421 CHF Source: CONFIRMED received by IFRC 1-Apr-22"
FOX Corporation,Communications services,United States of America,Ukrainian Red Cross Society,cash,pledged,13533377,"FOX Corporation donated $1 million to the American Red Cross to support their mission to provide aid and resources including water, medical supplies, housing support and more to the most vulnerable — both within Ukraine and for those who have been forced to leave their homes. FOX employees have together raised more than $13 million. Source: https://www.redcross.org/donate/cm/FOXForward-pub.html. "
FreeWill Co.,Financials,United States of America,Ukraine Humanitarian Fund (UHF),cash,pledged,10800,Donation from US-based estate planning public benefit company.
Fujitsu Group,Consumer discretionary,Japan,United Nations High Commissioner for Refugees (UNHCR),cash,pledged,1000000,"Fujitsu Group will donate 1 million U.S. dollars (approximately 115 million yen) to UNHCR, the UN Refugees Agency, to provide urgently needed humanitarian support for the many people displaced by the ongoing crisis in Ukraine and countries in the surrounding region."
Fuller Giving Foundation,Financials,Canada,Canadian Red Cross Society,cash,pledged,10000,"Company-sponsored foundation. Fuller Giving Foundation will donate $10,000 CAD to the Canadian Red Cross for relief efforts in Ukraine. CAD 10000."
"Fundación ""la Caixa""",Financials,Spain,Ukrainian Red Cross Society,cash,pledged,1649490,1.5 million euros donation to Ukrainian Red Cross
Fundación A.M.A.,Financials,Spain,Fundación Mensajeros por la Paz [NGO],cash,pledged,1090000,Company-sponsored foundation. Fundación A.M.A. donated €1 million to Fundación Mensajeros de La Paz to provide humanitarian assistance to Ukrainians displaced by the conflict inside the country and Ukrainian refugees outside the country. EUR 1000000.
Fundación Aon España,Utilities,Spain,Spanish Red Cross,cash,pledged,21800,"Company-sponsored foundation. Fundación Aon España donated €20,000 to the Spanish Red Cross' emergency aid fund to support their response to the humanitarian crisis in Ukraine, in border countries and humanitarian corridors, as well as the reception of refugees arriving in Spain. EUR 20000."
Fundacion MAPFRE,Financials,Spain,Fundación Mensajeros por la Paz [NGO],cash,pledged,76300,"Company-sponsored foundation. Fundación MAPFRE has committed to matching contributions to its Help Ukraine campaign, up to a maximum of 70,000 euros. The campaign aims to help cover the urgent needs of displaced Ukrainians in Romania. Funding will go to Fundacion Mensajeros de la Paz, which is working at the Siret border crossing in western Ukraine on the border with Romania, providing food, transportation and services to refugee families who arrive. EUR 70000."
Ganni,Consumer discretionary,Denmark,Danish Refugee Council [NGO],cash,pledged,14700,"DKK 100,000 donation from Danish ready-to-wear fashion brand. Source: https://people.com/style/how-fashion-and-beauty-brands-are-helping-ukraine/."
GE Foundation,Industrials,United States of America,"Airlink, Inc. [NGO]",cash,pledged,100000,GE and the GE Foundation announced $4.5 million in philanthropic commitments to provide immediate support to Ukraine and neighboring countries impacted by the violence. Source: https://www.ge.com/news/press-releases/ge-announces-45-million-to-support-ukraine-and-neighboring-countries-0
GE Foundation,Industrials,United States of America,International Rescue Committee (IRC) [NGO],cash,pledged,400000,GE and the GE Foundation announced $4.5 million in philanthropic commitments to provide immediate support to Ukraine and neighboring countries impacted by the violence. Source: https://www.ge.com/news/press-releases/ge-announces-45-million-to-support-ukraine-and-neighboring-countries-0
GE Healthcare,Industrials,United States of America,[multiple or not specified],cash,pledged,4000000,"$4 million in life-saving medical equipment, including handheld ultrasound devices, mobile X-ray units, ventilators and patient monitors. Source: https://www.ge.com/news/press-releases/ge-announces-45-million-to-support-ukraine-and-neighboring-countries-0"
General Motors,Consumer discretionary,United States of America,International Rescue Committee (IRC) [NGO],cash,pledged,250000,"Corporate giving program. GM North America will donate $250,000 to the International Rescue Committee for the humanitarian crisis in Ukraine. USD 250000."
Gilead Foundation,Health care,United States of America,[multiple or not specified],cash,pledged,3700000,"Donation from foundation associated with Gilead Sciences, Inc. plus matched contributions from employees. Source: https://stories.gilead.com/articles/an-update-on-ukraine-from-daniel-oday-chairman-and-ceo"
GlaxoSmithKline plc,Consumer staples,United Kingdom,Crown Agents [NGO],cash,pledged,325654,"GSK donated £250,000 to Crown Agents (an NGO that has worked with the Ukrainian Ministry of Health for the past 20 years) to fund 2,500 medical trauma kits; and are in discussions with them on how to enable continued supply of essential medicines into Ukraine. Source: https://www.gsk.com/en-gb/media/resource-centre/our-response-to-the-situation-in-ukraine/"
GlaxoSmithKline plc,Consumer staples,United Kingdom,International Committee of the Red Cross and Red Crescent Societies (ICRC),cash,pledged,3960000,GSK is making a £3m donation to the Red Cross’s Ukraine crisis work. Source: https://twitter.com/GSK/status/1498765191898701826
GlaxoSmithKline plc,Consumer staples,United Kingdom,Save the Children [NGO],cash,pledged,325654,"GSK donated £3.25million to the Red Cross and Save the Children who are providing food, water, first aid, medicines, warm clothes and shelter for people in Ukraine and refugees at the border. Source: https://www.gsk.com/en-gb/media/resource-centre/our-response-to-the-situation-in-ukraine/"
Global Star Logistics,Industrials,United States of America,Ukraine Humanitarian Fund (UHF),cash,pledged,1000,Pipeline donation. Source: CONFIRMED by UNF 5-Apr-22.
Google.org,Information technology,United States of America,[multiple or not specified],cash,pledged,31400000,"""To help the humanitarian aid efforts… Google.org and Googlers have committed over $35 million in funding and in-kind support."" Source: https://blog.google/inside-google/company-announcements/warsaw-announcing-more-support-ukraine/. We have requested a more detailed breakdown and are awaiting reply from Google [4 April 22]. In the meantime, this is a manual reduction from the known grants."
Google.org,Information technology,United States of America,Polish Center for International Aid Foundation [NGO],cash,pledged,2600000,"""Google.org and our employees are donating $2.6 million (over PLN 10 million) to the Polish Center for International Aid (PCPM) Foundation"". Source: https://polska.googleblog.com/2022/03/pomoc-dla-polskich-organizacji.html"
Google.org,Information technology,United States of America,The Association for Legal Intervention [NGO],cash,pledged,1000000,"""Google.org and our employees… are also donating a $1 million (nearly PLN 4 million) grant to the Association for Legal Intervention."" Source: https://polska.googleblog.com/2022/03/pomoc-dla-polskich-organizacji.html"
Grammarly Inc.,Information technology,United States of America,[multiple or not specified],cash,pledged,5000000,Pledged donation from US-based tech firm. Source: https://twitter.com/Grammarly/status/1498535692996988932
Group 1001 Resources,Financials,United States of America,Ukraine Humanitarian Fund (UHF),cash,paid,20000,Donation from a leading life insurance holding company in the United States. Source: CONFIRMED UNF 5-Apr-22.
Groupe BPCE,Financials,France,French Red Cross,cash,pledged,5429000,"Groupe BPCE’s companies are taking concrete steps to help provide humanitarian aid to the populations affected by the conflict in Ukraine. The Banques Populaires, Caisses d'Epargne, Natixis CIB, Natixis IM, Banque Palatine, and all the subsidiaries of Groupe BPCE and the Natixis foundation will be donating almost €5 million to the French Red Cross. Source: https://groupebpce.com/en/all-the-latest-news/news/2022/groupe-bpce-s-companies-mobilize-their-efforts-to-bring-aid-to-ukraine"
Groupe Crédit Agricole,Financials,France,[multiple or not specified],cash,pledged,10858000,€10 million pledge from foundation linked to French multinational bank group. Source: https://www.credit-agricole.com/chaines-d-infos/toutes-les-chaines-d-info-du-groupe-credit-agricole/info-ukraine/le-groupe-lance-un-fonds-de-solidarite-d-urgence-de-10-m
Gucci,Consumer discretionary,Italy,United Nations High Commissioner for Refugees (UNHCR),cash,pledged,500000,"Corporate giving program. Gucci has donated $500,000 to the UN Refugee Agency (UNHCR) in response to the crisis in Ukraine. USD 500000."
H&M Hennes & Mauritz AB,Consumer discretionary,Sweden,United Nations High Commissioner for Refugees (UNHCR),cash,paid,930684,"€760,000 + SEK 956,000. Source: CONFIRMED UNHCR 30-Mar-22."
H. Lundbeck A/S,Health care,Denmark,Danish Red Cross,cash,pledged,1500000,10 million DKK donation
Heartland,Consumer discretionary,Denmark,[multiple or not specified],cash,pledged,10258668,"BESTSELLER's parent company HEARTLAND has donated DKK 100 million to humanitarian efforts and other initiatives that will make a difference for Ukraine and the Ukrainian people. Initially, HEARTLAND has donated DKK 10 million to the Red Cross, UNICEF and the UN Refugee Agency (UNHCR), all of which work to help Ukraine. Later, donations to a number of other aid programmes will follow. Source: https://about.bestseller.com/news/bestseller-supports-ukraine"
Heartland,Consumer discretionary,Denmark,Danish Red Cross,cash,pledged,1465524,"BESTSELLER's parent company HEARTLAND has donated DKK 100 million to humanitarian efforts and other initiatives that will make a difference for Ukraine and the Ukrainian people. Initially, HEARTLAND has donated DKK 10 million to the Red Cross, UNICEF and the UN Refugee Agency (UNHCR), all of which work to help Ukraine. Later, donations to a number of other aid programmes will follow. Source: https://about.bestseller.com/news/bestseller-supports-ukraine"
Heartland,Consumer discretionary,Denmark,United Nations Children's Fund (UNICEF),cash,pledged,1465524,"BESTSELLER's parent company HEARTLAND has donated DKK 100 million to humanitarian efforts and other initiatives that will make a difference for Ukraine and the Ukrainian people. Initially, HEARTLAND has donated DKK 10 million to the Red Cross, UNICEF and the UN Refugee Agency (UNHCR), all of which work to help Ukraine. Later, donations to a number of other aid programmes will follow. Source: https://about.bestseller.com/news/bestseller-supports-ukraine"
Heartland,Consumer discretionary,Denmark,United Nations High Commissioner for Refugees (UNHCR),cash,pledged,1465524,"BESTSELLER's parent company HEARTLAND has donated DKK 100 million to humanitarian efforts and other initiatives that will make a difference for Ukraine and the Ukrainian people. Initially, HEARTLAND has donated DKK 10 million to the Red Cross, UNICEF and the UN Refugee Agency (UNHCR), all of which work to help Ukraine. Later, donations to a number of other aid programmes will follow. Source: https://about.bestseller.com/news/bestseller-supports-ukraine"
Helly Hansen,Consumer discretionary,Norway,Canadian Red Cross Society,cash,pledged,158000,"Corporate giving program. The softgoods brand Helly Hansen committed $200,000 CAD to the Red Cross in response to the crisis in Ukraine. CAD 200000."
HELP Logistics,Industrials,Switzerland,World Food Programme (WFP),in-kind,paid,500000,"In-kind donation of office supplies, ground logistics, air and road passenger transport. Foundation associated with German shipping/logistics company. Source: CONFIRMED WFP 31-Mar-22."
Hendrick Automotive,Consumer discretionary,United States of America,Samaritan’s Purse [NGO],cash,pledged,200000,"Corporate giving program. Hendrick Automotive has committed $200,000 to Samaritan’s Purse for disaster assistance in Ukraine. USD 200000."
Hilco Global,Financials,United States of America,Sunflower of Peace [NGO],cash,pledged,37500,"Corporate giving program. Hilco Global, through its Hilco Helps (www.hilcohelps.com) initiative, is donating the first $75,000 split equally between Sunflower of Peace and United Help Ukraine, as they represent two organizations the company feels are having an immediate impact on Ukraine relief efforts.  USD 37500."
Hilco Global,Financials,United States of America,United Help Ukraine [NGO],cash,pledged,37500,"Corporate giving program. Hilco Global, through its Hilco Helps (www.hilcohelps.com) initiative, is donating the first $75,000 split equally between Sunflower of Peace and United Help Ukraine, as they represent two organizations the company feels are having an immediate impact on Ukraine relief efforts.  USD 37500."
"Hitachi, Ltd.",Consumer discretionary,Japan,[multiple or not specified],cash,pledged,3000000,"Hitachi Group today announced that it will donate a total of approximately 3 million U.S. dollar (approximately 2.8 million euro) for the purpose of providing humanitarian aid to those affected in Ukraine and neighboring regions. It includes donations to Japanese Red Cross Society and Japan Committee for UNICEF, in addition to the entire Hitachi Group's donation to the American Red Cross, Singapore Red Cross, and other aid programs in Ukraine through a service by Benevity, Inc. Source: https://www.hitachi.eu/en/press/hitachi-donate-towards-humanitarian-aid-ukraine"
Home Capital Group,Financials,Canada,Canadian Red Cross Society,cash,pledged,39500,"Corporate giving program. Home Capital Group Inc. and its subsidiary, Home Trust Company, announced a donation of $50,000 CAD to the Canadian Red Cross Ukraine Humanitarian Crisis Appeal in support of humanitarian relief efforts in Ukraine. CAD 50000."
Hotel Engine,Consumer discretionary,United States of America,World Food Programme (WFP),cash,pledged,35200,"Corporate giving program. Hotel Engine announced a donation of $35,200, or $100 per associate, to the United Nation’s World Food Programme, which launched an emergency operation to provide assistance for people seeking refuge. The company is also offering assistance to its associates, clients and contractors who have friends and family fleeing the Ukraine.  USD 35200."
"Humble Bundle, Inc.",Consumer discretionary,United States of America,[multiple or not specified],cash,pledged,20587924,"€18,906,824 raised for Razom, IRC, IMC, and Direct Relief through sales of a ""Humble Bundle"" collection of video games sold with a portion of the price going towards charity and the rest split between the game developers. Source: https://www.humblebundle.com/stand-with-ukraine-bundle and https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/humble-bundle-humanitarian-crisis-ukraine."
Hyundai Motor Company,Consumer discretionary,South Korea,International Committee of the Red Cross and Red Crescent Societies (ICRC),cash,pledged,1000000,Corporate giving program. Hyundai Motor Group is donating $1 million to the Red Cross to provide humanitarian aid to Ukraine.  USD 1000000.
IBM,Information technology,United States of America,People in Need [NGO],cash,pledged,250000,Donation to NGO working to support Ukrainian refugees.
IBM,Information technology,United States of America,Polish Humanitarian Action [NGO],cash,pledged,250000,Donation to NGO working to support Ukrainian refugees.
Iceland Foods Charitable Foundation,Consumer staples,United Kingdom,British Red Cross Society ,cash,pledged,198000,"Public charity. Iceland Charitable Foods Foundation will donate £150,000 to the British Red Cross to help those who have been displaced by the conflict access necessities and medical care. GBP £150,000."
ICR Touch,Information technology,United Kingdom,Disasters Emergency Committee (DEC) [NGO],cash,pledged,26440,"Corporate giving program. ICR Touch donated £20,000 to the Disasters Emergency Committee (DEC) to aid the people of the Ukraine. GBP £20,000."
Ikea Foundation,Consumer discretionary,The Netherlands,Médecins Sans Frontières (MSF) [NGO],cash,pledged,5500000,"€5 million donation to their emergency fund to give life-saving care where the needs are greatest, including in and around Ukraine. "
Ikea Foundation,Consumer discretionary,The Netherlands,United Nations High Commissioner for Refugees (UNHCR),cash,paid,22471910,€20 million immediate donation to support Ukraine. Source: CONFIRMED UNHCR 30-Mar-22.
INFICON Holding AG,Industrials,Switzerland,International Federation of Red Cross and Red Crescent Societies (IFRC),cash,paid,27019,"25,000 CHF Source: CONFIRMED received by IFRC 1-Apr-22"
Inflexion Foundation,Financials,United Kingdom,British Red Cross Society ,cash,pledged,654000,"£500,000 to the Disasters Emergency Committee (DEC) Ukraine Appeal, through the British Red Cross. Source: https://www.inflexion.com/news-insights-events/press-releases/2022/inflexion-announces-500-000-donation-to-dec-ukraine-appeal/"
Intel Foundation,Industrials,United States of America,[multiple or not specified],cash,pledged,1200000,"Preliminary donation for Ukrainian refugees in Poland, Germany, and Romania. Source: https://www.intel.com/content/www/us/en/newsroom/news/intel-statement-war-ukraine.html"
James M. Cox Foundation,Communications services,United States of America,American Red Cross,cash,pledged,500000,Donation from the foundation associated with Cox Enterprises.
Japan Sporting Goods Industries Association,Consumer discretionary,Japan,Ukraine Humanitarian Fund (UHF),cash,paid,10000,Donation from the nonprofit association representing Japanese sporting goods companies. Source: CONFIRMED UNF 5-Apr-22.
John Legere Family Foundation,Communications services,United States of America,Ukraine Humanitarian Fund (UHF),cash,paid,25000,Donation from the private foundation of the former CEO of T-Mobile USA. Source: CONFIRMED UNF 5-Apr-22.
John Lewis Partnership,Consumer discretionary,United Kingdom,British Red Cross Society ,cash,pledged,132000,"Corporate giving program. The John Lewis Partnership is making a first donation of £100,000 to the British Red Cross directly in support of their Ukraine Crisis Appeal. This will help provide food, water, medicine, warm clothing and shelter to those whose lives have been torn apart by this invasion GBP £100,000."
John Lewis Partnership,Consumer discretionary,United Kingdom,British Red Cross Society ,cash,pledged,198000,"Corporate giving program. John Lewis will match donations from customers and employees to British Red Cross Ukraine Crisis Appeal, up to the value of £150,000. GBP £150,000."
Johnson & Johnson,Consumer discretionary,United States of America,[multiple or not specified],cash,pledged,5000000,"Donating $5 million to support the work of the International Rescue Committee (IRC) and International Federation Red Cross and Red Crescent to provide humanitarian support for refugees in the border countries, among other actions. Source: https://www.jnj.com/johnson-johnson-statement-on-conflict-in-ukraine."
Jonathan Molot and Hattie Ruttenberg Foundation,Financials,United States of America,Ukraine Humanitarian Fund (UHF),cash,paid,43248.89,Donation from private foundation associated with the founder of Burford Capital. Source: CONFIRMED UNF 5-Apr-22.
JPMorgan Chase & Co.,Financials,United States of America,United Nations High Commissioner for Refugees (UNHCR),cash,pledged,1000000,Corporate giving program. JPMorgan Chase made an initial $1 million contribution to the United Nations High Commissioner for Refugees (UNHCR) to support the rising number of people who’ve been forced to flee Ukraine. USD 1000000.
JYSK,Consumer discretionary,Denmark,United Nations High Commissioner for Refugees (UNHCR),in-kind,pledged,156078,Reported in OCHA FTS as in-kind. Needs additional verification. 
Kansas City Southern Charitable Fund,Industrials,United States of America,American Red Cross,cash,pledged,500000,"Corporate giving program. Kansas City Southern (KCS) announced that it has pledged a total of $500,000 to the American Red Cross to support the global Red Cross network response to the Ukraine humanitarian crisis, and will also match employees’ contributions to the American Red Cross for this effort. USD 500000."
Kerry Group plc,Consumer staples,Ireland,World Food Programme (WFP),cash,paid,273823,Donation from Irish food company. Source: CONFIRMED WFP 31-Mar-22.
KeyBank Foundation,Financials,United States of America,American Red Cross,cash,pledged,100000,"Company-sponsored foundation. KeyBank Foundation will give a $100,000 grant to the American Red Cross to support its efforts to provide food, water, and other essential items and services to the people of Ukraine. USD 100000."
KeyBank Foundation,Financials,United States of America,United Nations Children's Fund (UNICEF),cash,pledged,50000,"Company-sponsored foundation. KeyBank Foundation will make a $50,000 grant to UNICEF for its work supporting children and families impacted by the war in Ukraine. USD 50000."
Kikkoman,Consumer staples,Japan,World Food Programme (WFP),cash,pledged,1000000,Kikkoman Corporation will donate JPY 115 million yen (approximately USD 1 million) to the WFP. Source: https://www.kikkoman.com/en/news/2022news/01.html
Kimberly-Clark,Consumer staples,United States of America,[multiple or not specified],cash,pledged,500000,"$500,000 donation from the Kimberly-Clark Foundation to the Red Cross pledged. Source: https://www.news.kimberly-clark.com/2022-03-09-Kimberly-Clark-Response-to-the-War-in-Ukraine"
Kimberly-Clark,Consumer staples,United States of America,[multiple or not specified],in-kind,pledged,500000,"$500,000 in in-kind donations of essential products, including Huggies, Kotex, Kleenex, Depend and K-C Profession pledged. Source: https://www.news.kimberly-clark.com/2022-03-09-Kimberly-Clark-Response-to-the-War-in-Ukraine"
Knockward Ltd,,Ireland,International Federation of Red Cross and Red Crescent Societies (IFRC),cash,paid,10849,"10,038 CHF Source: CONFIRMED received by IFRC 1-Apr-22"
KOEI TECMO,Consumer discretionary,Japan,United Nations High Commissioner for Refugees (UNHCR),cash,pledged,500000,Donation from Japanese video game and anime company. Source: https://www.koeitecmoamerica.com/news/notice-of-donation-towards-humanitarian-aid-for-ukraine-crisis/
KPMG LLP,Financials,United States of America,GlobalGiving [NGO],cash,pledged,250000,"US CEO of KPMG Paul Knopp announced on Twitter an initial donation of US$250,000 to GlobalGiving’s Ukraine Crisis Relief Fund."
Kroger Co. Zero Hunger Zero Waste Foundation,Consumer staples,United States of America,World Food Programme (WFP),cash,pledged,250000,"Public charity. Kroger is sending emergency food assistance to support refugees through a grant from The Kroger Co. Zero Hunger | Zero Waste Foundation to the UN World Food Programme's Ukraine Emergency Fund. Kroger will match all gifts made by associates and customers, up to $250,000. USD 250000."
