Transaction ID,Private sector donor,Business sector,Donor country of registration,Recipient,Donation type,Donation status,Est USD value,Notes,Source,Donor ID,Recipient ID,
657,"Cisco Systems, Inc.",Information technology,United States of America,World Food Programme (WFP),cash,paid,150000,Cash donation.,"Bilateral - recipient report
[Confirmed email 14-June-22]",cd-93,XM-DAC-41140,
176,"Civitas Resources, Inc.",Energy,United States of America,unspecified or multiple recipients,cash,pledged,10000000,Pledge from US-based energy company. ,"Public reporting
[https://www.businesswire.com/news/home/20220316006131/en/Civitas-Pledges-10-Million-in-Humanitarian-Aid-to-Ukrainians]",cd-94,ro-149,
177,Clorox Company,Consumer staples,United States of America,American Red Cross,cash,pledged,100000,Proceeds from 1:1 employee match giving program,"Public reporting
[https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/clorox-company-humanitarian-crisis-ukraine]",cd-95,ro-5,
178,CNH Industrial International SA,Industrials,United Kingdom,International Federation of Red Cross and Red Crescent Societies (IFRC),cash,paid,368397,"CHF 355,069 from American-Italian agricultural machinery company.","Bilateral - recipient report
http://www.ifrc.org/docs/appeals/Active/MGR65002.pdf 
[Confirmed web 25-May-22]",cd-96,XM-DAC-21018,
179,Coca-Cola Europacific Partners plc,Consumer staples,United Kingdom,International Federation of Red Cross and Red Crescent Societies (IFRC),cash,paid,213982,"CHF 206,202 from British Coca-Cola bottling companies.","Bilateral - recipient report
http://www.ifrc.org/docs/appeals/Active/MGR65002.pdf 
[Confirmed web 25-May-22]",cd-97,XM-DAC-21018,
180,Collette Travel Services,Consumer discretionary,United States of America,unspecified or multiple recipients,cash,pledged,200000,Pledge to support humanitarian organizations on the ground in Ukraine.,"Public reporting
[https://www.facebook.com/GoCollette/photos/a.267041446678649/4862080720508009/]",cd-98,ro-149,
181,Columbia Sportswear,Consumer discretionary,United States of America,Ukraine Humanitarian Fund (UHF),cash,pledged,25000,Cash donation from clothing company.,"Bilateral - recipient report
[Confirmed email 31-May-22]",cd-99,ro-113,
182,Columbus Energy,Energy,Poland,UN Global Compact Network Poland,cash,pledged,11500,"PLN 50,000 cash donation",Bilateral - donor report [Email 9-Jun-22],cd-415,ro-117,
183,ConocoPhillips,Energy,United States of America,American Red Cross,cash,paid,1000000,Part of a $2m initial commitment to support Ukraine.,"Bilateral - donor report
[Confirmed email 17-May-22]

See also public reporting
[https://www.conocophillips.com/news-media/story/conocophillips-contributes-to-humanitarian-efforts-in-ukraine]",cd-100,ro-5,
184,ConocoPhillips,Energy,United States of America,United Nations Children's Fund (UNICEF),cash,paid,1000000,Part of a $2m initial commitment to support Ukraine.,"Bilateral - donor report
[Confirmed email 17-May-22]

See also public reporting
[https://www.conocophillips.com/news-media/story/conocophillips-contributes-to-humanitarian-efforts-in-ukraine]",cd-100,XM-DAC-41122,
185,Continental Development Corporation,Real estate,United States of America,GlobalGiving [NGO],cash,pledged,10000,"Donation to the GlobalGiving Ukraine Crisis Relief Fund, made as part of the Global Citizen Stand Up for Ukraine campaign.","Public reporting
[https://www.globalcitizen.org/en/content/stand-up-for-ukraine-impact-report]",cd-101,US-EIN-300108263,
186,Coyote Logistics,Industrials,United States of America,International Federation of Red Cross and Red Crescent Societies (IFRC),cash,paid,5036,"4,660 CHF ","Bilateral - recipient report
http://www.ifrc.org/docs/appeals/Active/MGR65002.pdf 
[Confirmed web 20-Apr-22]",cd-102,XM-DAC-21018,
187,Crankstart Foundation,Financials,United States of America,Ukraine Humanitarian Fund (UHF),cash,paid,1000000,"Family foundation associated with Michael Moritz, partner at Sequoia Capital. ","Bilateral - recipient report
[Confirmed email 31-May-22]",cd-103,ro-113,
188,Cra-Z-Art,Consumer discretionary,United States of America,The Toy Foundation [NGO],in-kind,pledged,250000,"Cra-Z-Art will donate art supplies, puzzles, coloring books, and other activity kits to support providing toys to Ukrainian refugee children worth $250,000.","Public reporting
[https://www.prnewswire.com/news-releases/cra-z-art-teams-up-with-the-toy-foundation-to-donate-250-000-in-toys-for-humanitarian-effort-to-aid-ukrainian-children-301502420.html]",cd-104,ro-109,
189,CropLife Europe,Consumer staples,Belgium,World Food Programme (WFP),cash,paid,328587,Donation from organization representing 22 companies and 32 national associations working in farming and digital biotech. ,"Bilateral - recipient report
[Confirmed email 14-June-22]",cd-105,XM-DAC-41140,
190,Crush Music,Consumer discretionary,United States of America,GlobalGiving [NGO],cash,pledged,25000,"Donation to the GlobalGiving Ukraine Crisis Relief Fund, made as part of the Global Citizen Stand Up for Ukraine campaign.","Public reporting
[https://www.globalcitizen.org/en/content/stand-up-for-ukraine-impact-report]",cd-106,US-EIN-300108263,
191,CSL Behring,Health care,United States of America,unspecified or multiple recipients,cash,pledged,1729056,"€1,600,000 donation made as part of the Global Citizen Stand Up for Ukraine campaign.","Public reporting
[https://www.globalcitizen.org/en/content/stand-up-for-ukraine-impact-report]",cd-107,ro-149,
192,CTP,Real estate,Czechia,United Nations High Commissioner for Refugees (UNHCR),cash,paid,10952903,€10 million donation from Czech property development firm.,"Bilateral - recipient report
[Confirmed email 30-Mar-22]",cd-108,XM-DAC-41121,
193,Currency.com,Financials,Saint Vincent and the Grenadines,ASAP Rescue [NGO],cash,pledged,200000,"Corporate giving program. $200,000 was donated to ASAP Rescue for evacuation efforts in Ukraine. USD 200000.","Public reporting
[https://currency.com/currency-com-responds-to-ukraine-humanitarian-effort-with-1m-donation]",cd-109,ro-8,
194,Currency.com,Financials,Saint Vincent and the Grenadines,GlobalGiving [NGO],cash,pledged,300000,"Corporate giving program. Currency.com is contributing $300,000 to The Ministry of Social Policy and Global Giving to help Ukrainians access food, shelter and medical care. USD 300000.","Public reporting
[https://currency.com/currency-com-responds-to-ukraine-humanitarian-effort-with-1m-donation]",cd-109,US-EIN-300108263,
195,Currency.com,Financials,Saint Vincent and the Grenadines,Ukrainian Red Cross Society,cash,pledged,500000,"Corporate giving program. Currency.com is contributing $500,000 to support the joint emergency relief efforts of the Ministry of Health in Ukraine and the Red Cross Society of Ukraine. The funds will be used to provide medical aid and basic amenities to displaced Ukrainians. USD 500000.","Public reporting
[https://currency.com/currency-com-responds-to-ukraine-humanitarian-effort-with-1m-donation]",cd-109,ro-116,
196,CVC,Financials,Luxembourg,International Federation of Red Cross and Red Crescent Societies (IFRC),cash,paid,264644,"CHF 254,689 from CVC Philanthropy Ltd, a private foundation associated with CVC Capital Partners investment advisory firm.","Bilateral - recipient report
http://www.ifrc.org/docs/appeals/Active/MGR65002.pdf 
[Confirmed web 25-May-22]",cd-110,XM-DAC-21018,
197,Cytel Inc.,Health care,United States of America,International Federation of Red Cross and Red Crescent Societies (IFRC),cash,paid,15239,"CHF 14,100","Bilateral - recipient report
http://www.ifrc.org/docs/appeals/Active/MGR65002.pdf 
[Confirmed web 20-Apr-22]",cd-111,XM-DAC-21018,
198,Czapek & Cie SA,Consumer discretionary,Switzerland,International Federation of Red Cross and Red Crescent Societies (IFRC),cash,paid,21615,"CHF 20,000","Bilateral - recipient report
http://www.ifrc.org/docs/appeals/Active/MGR65002.pdf 
[Confirmed web 20-Apr-22]",cd-112,XM-DAC-21018,
199,"Daiichi Sankyo Company, Limited",Health care,Japan,United Nations Children's Fund (UNICEF),cash,pledged,1000000,¥115 million yen,"Public reporting
[https://www.daiichisankyo.com/sustainability/performance-reports/news/detail/index_4231.html]",cd-113,XM-DAC-41122,
200,Daily Mail and General Trust,Communications services,United Kingdom,British Red Cross Society ,cash,pledged,660000,"Corporate giving program. DGMT donation for Red Cross aid during humanitarian crisis in Ukraine. GBP £500,000.","Public reporting
[https://www.dailymail.co.uk/news/article-10580683/Heres-help-Donate-Mail-Force-Ukraine-Appeal.html]",cd-114,GB-CHC-220949,
201,Danone S.A.,Consumer staples,France,International Federation of Red Cross and Red Crescent Societies (IFRC),cash,paid,557334,"CHF 515,686","Bilateral - recipient report
http://www.ifrc.org/docs/appeals/Active/MGR65002.pdf 
[Confirmed web 20-Apr-22]",cd-115,XM-DAC-21018,
202,Decathlon,Consumer Discretionary,France,unspecified or multiple recipients,cash,pledged,2778102,Equipment and products worth more than €2.6 million donated to local NGOs to support Ukrainians.,"Public reporting
[https://www.decathlon-united.media/update0322]",cd-117,ro-149,
203,Decathlon,Consumer Discretionary,France,unspecified or multiple recipients,cash,pledged,1068501,Solidarity fund of €1 million to support affected people.,"Public reporting
[https://www.decathlon-united.media/update0322]",cd-117,ro-149,
664,Delivery Hero,Consumer discretionary,Germany,World Food Programme (WFP),cash,paid,69387,Donation from Geman online food delivery platform.,"Bilateral - recipient report
[Confirmed email 14-June-22]",cd-421,XM-DAC-41140,
204,Delta Air Lines,Industrials,United States of America,American Red Cross,cash,pledged,1000000,For the American Red Cross and Global Red Cross Movement in support of humanitarian relief efforts in Ukraine.,"Public reporting
[https://news.delta.com/delta-contributes-more-1m-ukraine-relief-opens-giving-channels-customers]",cd-118,ro-5,
205,Delta Air Lines,Industrials,United States of America,United Nations High Commissioner for Refugees (UNHCR),cash,pledged,100000,To assist in providing humanitarian aid to people affected by the crisis in Ukraine.,"Public reporting
[https://news.delta.com/delta-contributes-more-1m-ukraine-relief-opens-giving-channels-customers]",cd-118,XM-DAC-41121,
206,Dentsu Inc.,Communications services,Japan,Ukrainian Red Cross Society,cash,pledged,275000,Donation to support urgent aid requirements.,"Public reporting
[https://www.group.dentsu.com/en/news/release/000677.html2]",cd-119,ro-116,
207,Dentsu Inc.,Communications services,Japan,unspecified or multiple recipients,cash,pledged,844600,100 million yen donation in support of Ukraine.,"Public reporting
[https://www.group.dentsu.com/en/news/release/000677.html]",cd-119,ro-149,
208,Derald H. Ruttenberg Foundation,Industrials,United States of America,Ukraine Humanitarian Fund (UHF),cash,paid,61289,Donation from the family foundation established by the founder of Tinicum. ,"Bilateral - recipient report
[Confirmed email 31-May-22]",cd-120,ro-113,
209,Devon Energy,Energy,United States of America,unspecified or multiple recipients,cash,pledged,20000000,Pledge of up to $20 million to support humanitarian efforts in Ukraine and neighboring countries supporting Ukrainian refugees. ,"Public reporting
[https://www.devonenergy.com/news/2022/Devon-Energy-Pledges-Up-to-20-Million-to-Aid-Humanitarian-Efforts-in-Ukraine]",cd-121,ro-149,
210,Diageo,Consumer discretionary,United Kingdom,International Federation of Red Cross and Red Crescent Societies (IFRC),cash,paid,1055887,"CHF 1,016,170 from multinational beverage alcohol company.","Bilateral - recipient report
http://www.ifrc.org/docs/appeals/Active/MGR65002.pdf 
[Confirmed web 25-May-22]",cd-122,XM-DAC-21018,
211,"Diamondback Energy, Inc.",Energy,United States of America,unspecified or multiple recipients,cash,pledged,10000000,Pledge from US-based energy company. ,"Public reporting
[https://www.diamondbackenergy.com/news-releases/news-release-details/diamondback-energy-inc-responds-humanitarian-crisis-eastern]",cd-123,ro-149,
212,DiaSorin,Health care,Italy,International Federation of Red Cross and Red Crescent Societies (IFRC),cash,paid,12202,"CHF 11,743 from multinational biotechnology company.","Bilateral - recipient report
http://www.ifrc.org/docs/appeals/Active/MGR65002.pdf 
[Confirmed web 25-May-22]",cd-124,XM-DAC-21018,
213,"DocuSign, Inc.",Information technology,United States of America,unspecified or multiple recipients,cash,pledged,40000,Donation made as part of the Global Citizen Stand Up for Ukraine campaign.,"Public reporting
[https://www.globalcitizen.org/en/content/stand-up-for-ukraine-impact-report]",cd-125,ro-149,
214,Don't Nod Entertainment SA,Consumer discretionary,France,Ukrainian Red Cross Society,cash,pledged,32700,"€30,000 donation announced on Twitter.","Public reporting
[https://twitter.com/DONTNOD_Ent/status/1499803835694567430]",cd-126,ro-116,
215,Door County Candle Company,Consumer discretionary,United States of America,Razom [NGO],cash,pledged,125000,Donation of proceeds from sale of Ukraine-themed candle. ,"Public reporting
[https://www.facebook.com/DoorCountyCandleCompany/photos/a.324245500919235/5162357540441316/.]",cd-127,ro-88,
216,Dow Chemical Company,Industrials,United States of America,CAF America [NGO],cash,pledged,275000,Donation for the International Red Cross Movement through CAF America. ,"Public reporting
[https://twitter.com/DowNewsroom/status/1499543836695146501]",cd-128,ro-15,
217,Dow Chemical Company,Industrials,United States of America,International Federation of Red Cross and Red Crescent Societies (IFRC),cash,paid,85954,"CHF 82,721 delivered through Charities Aid Foundation.","Bilateral - recipient report
http://www.ifrc.org/docs/appeals/Active/MGR65002.pdf 
[Confirmed web 25-May-22]",cd-128,XM-DAC-21018,
218,Drax Group PLC,Energy,United Kingdom,Disasters Emergency Committee (DEC) [NGO],cash,pledged,351331,"Donation of £280,000, including £30,000 of employee match funding,  from renewable energy company.","Public reporting
[https://www.drax.com/press_release/drax-donates-280000-to-support-humanitarian-effort-in-ukraine/]",cd-129,GB-CHC-1062638,
219,DST Global,Financials,United States of America,GoFundMe.org Stand With Ukraine Fund,cash,paid,3500000,Donation from one of the largest venture capital firms in the world to GoFundMe campaign started by Mila Kunis and Ashton Kutcher. ,"Public reporting
[https://www.gofundme.com/f/stand-with-ukraine/topdonations]",cd-130,ro-43,
220,Dunamu Inc.,Financials,Republic of Korea,World Food Programme (WFP),cash,paid,811833,KRW 1 billion donation from block chain and fintech company.,"Bilateral - recipient report
[Confirmed email 14-June-22]

See also https://www.wfp.org/news/dunamu-contributes-us-823000-wfps-emergency-aid-ukraine",cd-131,XM-DAC-41140,
221,Dupont,Materials,United States of America,International Committee of the Red Cross (ICRC),cash,pledged,200000,"Donation to support the humanitarian crisis in Ukraine, announced via Twitter.","Public reporting
[https://twitter.com/DuPont_News/status/1501247471208513541]",cd-132,XM-DAC-21016,
222,"Eisai Co., Ltd.",Health care,Japan,unspecified or multiple recipients,cash,pledged,122902,"16 million yen to the Japanese Red Cross Society, the Association for Aid and Relief (AAR Japan and other organizations.","Public reporting
[https://www.efpia.eu/news-events/the-efpia-view/efpia-news/pharmaceutical-industry-response-to-the-war-in-ukraine/]",cd-133,ro-149,
223,Eli Lilly and Company,Health care,United States of America,Direct Relief [NGO],in-kind,pledged,1800000,"$1.8 million supply of baricitinib, used to treat complications of COVID-19. ","Public reporting
[https://www.lilly.com/news/stories/ukraine-support]",cd-134,ro-29,
224,Eli Lilly and Company,Health care,United States of America,Project Hope [NGO],in-kind,pledged,7500000,$7.5 million worth of insulin to Project Hope to assist Ukrainians. ,"Public reporting
[https://www.lilly.com/news/stories/ukraine-support]",cd-134,ro-87,
225,Eli Lilly and Company Foundation,Health care,United States of America,Americares [NGO],cash,pledged,250000,"The Lilly Foundation is making a monetary contribution of $250,000 to Americares to support their relief efforts in the region. ","Public reporting
[https://www.lilly.com/news/stories/ukraine-support]",cd-135,ro-7,
226,Eli Lilly and Company Foundation,Health care,United States of America,Direct Relief [NGO],cash,pledged,250000,"The Lilly Foundation is making a monetary contribution of $250,000 to Direct Relief to support their relief efforts in the region and aid those affected by the war in Ukraine. ","Public reporting
[https://www.lilly.com/news/stories/ukraine-support]",cd-135,ro-29,
227,Embracer Group,Consumer discretionary,Sweden,unspecified or multiple recipients,cash,pledged,5000000,Pledged donation from video game studio. ,"Public reporting
[https://embracer.com/release/update-on-the-situation-due-to-the-war-in-ukraine/]",cd-136,ro-149,
228,Epic Games,Consumer discretionary,United States of America,unspecified or multiple recipients,cash,paid,117125856,"Together with the Fortnite community and Xbox, over $144 million raised for Direct Relief, UNICEF, WFP, UNHCR, and World Central Kitchen to support humanitarian relief efforts for people affected by the war in Ukraine. ","Public reporting
[https://www.epicgames.com/fortnite/en-US/news/support-humanitarian-relief-for-ukraine]",cd-138,ro-149,
229,Epic Games,Consumer discretionary,United States of America,World Food Programme (WFP),cash,paid,26874144,"Together with the Fortnite community and Xbox, over $144 million raised for Direct Relief, UNICEF, WFP, UNHCR, and World Central Kitchen to support humanitarian relief efforts for people affected by the war in Ukraine. ","Bilateral - recipient report
[Confirmed email 14-June-22]",cd-138,XM-DAC-41140,
230,ERSTE Foundation,Financials,Austria,unspecified or multiple recipients,cash,pledged,1085800,Donation from foundation linked to Erste Group bank will provide a special budget of one million euros for acute and medium-term aid to address the effects of the war on the people of Ukraine. ,"Public reporting
[https://www.erstestiftung.org/en/press/erste-foundation-1-million-euro-special-budget-to-help-the-people-of-ukraine/]",cd-139,ro-149,
231,"Esmark, Inc.",Industrials,United States of America,City of Košice,cash,paid,50000,Donation to the city of Košice in Slovakia to benefit Ukrainian refugees from steel company with local operations.,"Public reporting
[https://www.businesswire.com/news/home/20220411005180/en/Esmark%E2%80%99s-Second-Donation-of-25000-to-Aid-Ukrainian-Refugees-Fleeing-to-Slovakia-Brings-Contribution-Total-to-50000-Company-Rallies-Nearly-12000-in-Additional-Support]",cd-140,ro-22,
232,Eurofins Scientific Foundation,Health care,France,International Federation of Red Cross and Red Crescent Societies (IFRC),cash,paid,27320,"CHF 26,292 from private foundation associated with French laboratory testing group.","Bilateral - recipient report
http://www.ifrc.org/docs/appeals/Active/MGR65002.pdf 
[Confirmed web 25-May-22]",cd-141,XM-DAC-21018,
233,Eurol Foundation,Materials,Netherlands,Giro555 [NGO],cash,pledged,8175," €7,500 to Giro555, part of the Emergency Appeals Alliance, for humanitarian aid for Ukraine. Announced on corporate Facebook account.","Public reporting
[https://www.facebook.com/Eurolbv/photos/the-eurol-foundation-has-made-a-donation-of-7500-to-giro555-part-of-the-emergenc/5206478236070072/]",cd-142,ro-41,
665,"ExlService Holdings, Inc.",Information technology,United States of America,World Food Programme (WFP),cash,paid,19400,Donation from billion-dollar analytics and digital solutions company.,"Bilateral - recipient report
[Confirmed email 14-June-22]",cd-422,XM-DAC-41140,
234,Exor NV,Industrials,Netherlands,International Federation of Red Cross and Red Crescent Societies (IFRC),cash,paid,1073247,"CHF 1,032,877 from Dutch holding company that includes auto manufacturers, agriculture and construction interests, and the football team Juventus FC.","Bilateral - recipient report
http://www.ifrc.org/docs/appeals/Active/MGR65002.pdf 
[Confirmed web 25-May-22]",cd-143,XM-DAC-21018,
235,ExxonMobil,Energy,United States of America,American Red Cross,cash,pledged,5000000,Part of an overall commitment of $10 million in response to the humanitarian crisis in Ukraine.,"Public reporting
[https://corporate.exxonmobil.com/News/ExxonMobil-and-Ukraine]",cd-144,ro-5,
236,ExxonMobil,Energy,United States of America,Counterpart International [NGO],cash,pledged,250000,Part of an overall commitment of $10 million in response to the humanitarian crisis in Ukraine.,"Public reporting
[https://corporate.exxonmobil.com/News/ExxonMobil-and-Ukraine]",cd-144,ro-24,
237,ExxonMobil,Energy,United States of America,International Medical Corps (IMC) [NGO],cash,pledged,2250000,Part of an overall commitment of $10 million in response to the humanitarian crisis in Ukraine.,"Public reporting
[https://corporate.exxonmobil.com/News/ExxonMobil-and-Ukraine]",cd-144,ro-54,
238,ExxonMobil,Energy,United States of America,Project Hope [NGO],cash,pledged,1000000,Part of an overall commitment of $10 million in response to the humanitarian crisis in Ukraine.,"Public reporting
[https://corporate.exxonmobil.com/News/ExxonMobil-and-Ukraine]",cd-144,ro-87,
239,ExxonMobil,Energy,United States of America,unspecified or multiple recipients,cash,pledged,1500000,Part of an overall commitment of $10 million in response to the humanitarian crisis in Ukraine.,"Public reporting
[https://corporate.exxonmobil.com/News/ExxonMobil-and-Ukraine]",cd-144,ro-149,
240,Fashion Institute of Design & Merchandising,Consumer discretionary,United States of America,Mission of Mercy [NGO],in-kind,pledged,298000,"Sweatshirts, t-shirts, sweatpants, blankets, hats, stuffed animals, toys, rattles, baby bottles, and water bottles; a total of 15,166 units with total retail value of over $298,000. ","Public reporting
[https://fidm.edu/en/about/latest+news/FIDM+Donates+To+Ukrainian+Refugees]",cd-145,ro-73,
241,"Fast Retailing Co., Ltd.",Consumer discretionary,Japan,United Nations High Commissioner for Refugees (UNHCR),cash,pledged,10000000,"US$10 million (approx. 1.15 billion yen) to UNHCR to provide such urgent assistance as shelter, psychosocial support and core relief items to affected populations in Ukraine and neighboring countries. Fast Retailing will also provide 100,000 pieces of UNIQLO clothing and other items (no cash value provided).","Public reporting
[https://www.fastretailing.com/eng/sustainability/news/2203041500.html]",cd-146,XM-DAC-41121,
242,Federation Internationale de l'Automobile,Industrials,France,International Federation of Red Cross and Red Crescent Societies (IFRC),cash,paid,531711,"CHF 511,711 from Paris-based association representing motor organizations and the governing body for Formula One.","Bilateral - recipient report
http://www.ifrc.org/docs/appeals/Active/MGR65002.pdf 
[Confirmed web 25-May-22]",cd-147,XM-DAC-21018,
243,Fédération nationale des Caisses d’Epargne,Financials,France,French Red Cross,cash,pledged,1628700,€1.5 million donation from French cooperative banking association. ,"Public reporting
[https://www.federation.caisse-epargne.fr/ukraine-les-caisses-depargne-se-mobilisent-en-faveur-de-laide-humanitaire]",cd-148,ro-36,
244,Fédération nationale des Caisses d’Epargne,Financials,France,Groupe Habitat en Région [NGO],cash,pledged,1954440,€1.8 million donation from French cooperative banking association. ,"Public reporting
[https://www.federation.caisse-epargne.fr/ukraine-les-caisses-depargne-se-mobilisent-en-faveur-de-laide-humanitaire]",cd-148,ro-45,
245,Federation of the European Sporting Goods Industry,Consumer discretionary,Belgium,Ukraine Humanitarian Fund (UHF),cash,paid,10701,Cash donation from trade federation.,"Bilateral - recipient report
[Confirmed email 31-May-22]",cd-149,ro-113,
246,Ferrari s.P.A.,Industrials,Italy,unspecified or multiple recipients,cash,pledged,1068501,€1 million to support Ukrainians in need.,"Public reporting
[https://www.reuters.com/business/autos-transportation/luxury-carmaker-ferrari-suspends-production-vehicles-russian-market-2022-03-08/]",cd-150,ro-149,
247,Fidelity Investments Inc.,Financials,United States of America,International Federation of Red Cross and Red Crescent Societies (IFRC),cash,paid,93432,"CHF 88,653 from American financial services corporation.","Bilateral - recipient report
http://www.ifrc.org/docs/appeals/Active/MGR65002.pdf 
[Confirmed web 20-Apr-22]",cd-151,XM-DAC-21018,
248,Fondation CHANEL,Consumer discretionary,France,unspecified or multiple recipients,cash,pledged,2177020,€2 million donation split between UNHCR and CARE International. ,"Public reporting
[https://luxurylondon.co.uk/style/hers/ukraine-war-luxury-brand-fashion-donations-events-fundraisers]",cd-152,ro-149,
249,Fondation Egis,Real estate,France,Agency for Technical Cooperation and Development (ACTED) [NGO],cash,pledged,108554,"€100,000 to provide direct support to the affected population in Ukraine and from border countries.","Public reporting
[https://whydonate.nl/fundraising/Support-to-Egis-Ukrainian-Staff/en]",cd-153,ro-1,
250,Fondation Groupe Pierre & Vacances-Center Parcs,Consumer discretionary,France,SOS Children's Villages [NGO],cash,pledged,162968,"€150,000 to support children separated from their parents and families.","Public reporting
[https://www.carenews.com/groupe-pvcp/news/solidarite-avec-l-ukraine-le-groupe-pvcp-se-mobilise-pour-les-familles]",cd-154,ro-99,
251,Fondation Orange,Communications services,France,unspecified or multiple recipients,cash,pledged,1088550,"€1,000,000 to the French Red Cross, UNHCR, and local partners responding to the Ukraine crisis from the foundation linked to Orange (French mobile network operator). ","Public reporting
[https://www.fondationorange.com/La-Fondation-Orange-solidaire-avec-l-Ukraine ]",cd-155,ro-149,
252,Fondation RAJA-Danièle Marcovici,Materials,France,Centrum Praw Kobiet [NGO],cash,pledged,54277,"€50,000 to manage the reception of Ukrainian refugee women.","Public reporting
[https://www.raja-group.com/system/files/press_files/202203-EN%20-%20Communiqu%C3%A9%20de%20presse_8mars-Fondation-RAJA%20VDEF.pdf]",cd-156,ro-21,
253,Fondazione Cariplo,Financials,Italy,unspecified or multiple recipients,cash,pledged,3701022,"€3,400,000 allocation to support multiple response activities from foundation established by several Italian banks. ","Public reporting
[https://www.fondazionecariplo.it/it/news/servizi/fondazione-cariplo-a-sostegno-dei-profughi-dell-ucraina.html]",cd-157,ro-149,
254,Fondazione Generali,Financials,Italy,United Nations Children's Fund (UNICEF),cash,pledged,1085800,€1 million donation from foundation linked to Italian insurance company. ,"Public reporting
[https://www.thehumansafetynet.org/it/stories-and-news/news/all/2022/Donations-and-practical-support-for-families-impacted-by-Ukraine-crisis]",cd-158,XM-DAC-41122,
255,Forada Limited,Financials,United Kingdom,Ukraine Humanitarian Fund (UHF),cash,paid,25000,Donation from UK investment firm.,"Bilateral - recipient report
[Confirmed email 31-May-22]",cd-159,ro-113,
256,Ford Motor Company Fund,Consumer discretionary,United States of America,GlobalGiving [NGO],cash,pledged,100000,Donation from the Ford Fund to the Global Giving Ukraine Relief Fund for humanitarian aid to assist Ukrainian citizens and families who have been displaced.,"Public reporting
[https://media.ford.com/content/fordmedia/fna/us/en/news/2022/03/01/ford-russia-ukraine-statement.html]",cd-160,US-EIN-300108263,
257,Fortum Oyj,Utilities,Finland,International Federation of Red Cross and Red Crescent Societies (IFRC),cash,paid,223091,"CHF 206,421","Bilateral - recipient report
http://www.ifrc.org/docs/appeals/Active/MGR65002.pdf 
[Confirmed web 20-Apr-22]",cd-161,XM-DAC-21018,
258,FOX Corporation,Communications services,United States of America,Ukrainian Red Cross Society,cash,pledged,13533377,"FOX Corporation donated $1 million to the American Red Cross to support their mission to provide aid and resources including water, medical supplies, housing support and more to the most vulnerable — both within Ukraine and for those who have been forced to leave their homes. FOX employees have together raised more than $13 million. ","Public reporting
[https://www.redcross.org/donate/cm/FOXForward-pub.html]",cd-162,ro-116,
259,FreeWill Co.,Financials,United States of America,Ukraine Humanitarian Fund (UHF),cash,pledged,10800,Donation from US-based estate planning public benefit company.,"Bilateral - recipient report
[Confirmed email 31-May-22]",cd-163,ro-113,
260,Fujitsu Group,Consumer discretionary,Japan,United Nations High Commissioner for Refugees (UNHCR),cash,pledged,1000000,Donation to provide urgently needed humanitarian support for the many people displaced by the ongoing crisis in Ukraine and countries in the surrounding region.,"Public reporting
[https://www.fujitsu.com/global/about/resources/news/notices/2022/0304-01.html]",cd-164,XM-DAC-41121,
261,Fuller Landau LLP,Financials,Canada,Canadian Red Cross Society,cash,pledged,7980,"CAD 10,000 donation from company-sponsored Fuller Giving Foundation.","Public reporting
[https://fullerllp.com/fuller-news/solidarity-with-ukraine/]",cd-165,ro-17,
262,"Fundación ""la Caixa""",Financials,Spain,Spanish Committee for UNHCR,cash,pledged,1041950,€1 million to UNHCR Spanish Committee.,"Public reporting
[https://prensa.fundacionlacaixa.org/es/2022/03/10/la-fundacion-la-caixa-destina-1-millon-de-euros-a-acnur-para-ayudar-a-los-afectados-por-la-guerra-en-ucrania/]",cd-166,ro-163,
263,Fundación A.M.A.,Financials,Spain,Fundación Mensajeros por la Paz [NGO],cash,pledged,1090000,Fundación A.M.A. donated €1 million to provide humanitarian assistance to Ukrainians displaced by the conflict inside the country and Ukrainian refugees outside the country.,"Public reporting
[https://elmedicointeractivo.com/la-fundacion-a-m-a-entrega-a-mensajeros-de-la-paz-un-millon-de-euros-para-los-refugiados-ucranianos/]",cd-167,ro-37,
264,Fundación Aon España,Utilities,Spain,Spanish Red Cross,cash,pledged,21800,"€20,000 to support response to the humanitarian crisis in Ukraine, in border countries and humanitarian corridors, as well as the reception of refugees arriving in Spain.","Public reporting
[https://www.grupoaseguranza.com/noticias-de-mediacion/fundacion-aon-dona-20-000-euros-fondo-ayuda-para-emergencias]",cd-168,ro-101,
265,Fundacion MAPFRE,Financials,Spain,Fundación Mensajeros por la Paz [NGO],cash,pledged,76300,"Matching contributions to its Help Ukraine campaign, up to a maximum of 70,000 euros. The campaign aims to help cover the urgent needs of displaced Ukrainians in Romania. ","Public reporting
[https://noticias.fundacionmapfre.org/donaciones-ayuda-ucrania/]",cd-169,ro-37,
266,Ganni,Consumer discretionary,Denmark,Danish Refugee Council [NGO],cash,pledged,14700,"DKK 100,000 donation from Danish ready-to-wear fashion brand. ","Public reporting
[https://people.com/style/how-fashion-and-beauty-brands-are-helping-ukraine/]",cd-170,DK-CVR-20699310,
